District,Gross Extent Sown (Hectares) - Major Schemes,Gross Extent Sown (Hectares) - Minor Schemes,Gross Extent Sown (Hectares) - Rainfed,Gross Extent Harvested (Hectares) - Major Schemes,Gross Extent Harvested (Hectares) - Minor Schemes,Gross Extent Harvested (Hectares) - Rainfed,Average Yield Per Nett Hectare (kg) - Major Schemes,Average Yield Per Nett Hectare (kg) - Minor Schemes,Average Yield Per Nett Hectare (kg) - Rainfed,Average Yield Per Nett Hectare (kg) - Average Yield,Nett Extent Harvested (Hectares),Total Production (MT),Paddy_Type,Temperature_C,Humidity,Soil_Moisture,Total_Land_Size
KURUNEGALA,17094.0,33418.0,25545.0,17078.0,33230.0,25326.0,4442.0,3485.0,3704.0,3775.0,75634.0,285481.0,Bg 250,28.521953810060616,65.53563058069132,0.3666800795566978,76057.0
PUTTALAM,8077.0,9672.0,1905.0,7978.0,9409.0,1847.0,4348.0,3218.0,3835.0,3746.0,16348.0,61240.0,Maa Wee,30.995428888318255,66.28047970010131,0.40670894043188577,19654.0
ANURADHAPURA,51479.0,48058.0,13012.0,51406.0,47959.0,13001.0,5723.0,4786.0,3773.0,5098.0,90353.0,460585.0,Bg 369,29.610855421332616,71.11416308374146,0.3990659593700975,112549.0
POLONNARUWA,57596.0,6526.0,2401.0,57596.0,6526.0,2401.0,5259.0,5396.0,3811.0,5220.0,58846.0,307190.0,Bg 406,26.140540989570006,74.53568955573064,0.2691550588855365,66523.0
BADULLA,10535.0,9081.0,3952.0,10535.0,9081.0,3952.0,5334.0,4813.0,3699.0,4859.0,20033.0,97344.0,Kuruluthuda,25.49398123180301,78.54764314590888,0.3504255409711939,23568.0
MONARAGALA,8815.0,10685.0,15400.0,8813.0,10573.0,14828.0,5652.0,4536.0,4019.0,4599.0,33530.0,154218.0,At 353,29.49693494744421,71.06740918709318,0.21149528862474629,34900.0
RATNAPURA,4074.0,6007.0,3277.0,4074.0,6000.0,3277.0,6033.0,3824.0,3689.0,4465.0,11348.0,50666.0,H4,25.185579173791353,73.87604148399444,0.237944319078304,13358.0
COLOMBO,388.0,638.0,3189.0,388.0,637.0,3186.0,2947.0,2699.0,2875.0,2855.0,3580.0,10222.0,Bw 367,29.100429068914245,82.4241281440127,0.41890074555633594,4215.0
GAMPAHA,1859.0,2144.0,8345.0,1847.0,2127.0,8275.0,3705.0,3516.0,3380.0,3453.0,10411.0,35911.0,Ld 368,31.581611689974704,61.10049608671794,0.1539005770532208,12348.0
KALUTARA,140.0,1428.0,11580.0,139.0,1417.0,11515.0,2554.0,2600.0,2753.0,2735.0,12058.0,32973.0,Bg 403,29.02831924513115,67.57310833032062,0.17565255925634043,13148.0
KANDY,4360.0,5673.0,3145.0,4360.0,5669.0,3143.0,3987.0,3629.0,3052.0,3610.0,10417.0,37603.0,At 362,27.717189483445654,81.40048757653658,0.2123658765438082,13178.0
MATALE,7657.0,8197.0,4420.0,7657.0,8190.0,4416.0,4134.0,4391.0,4042.0,4218.0,18223.0,76864.0,At 307,29.50301752909647,86.85620513061598,0.1579596611621459,20274.0
NUWARAELIYA,877.0,4066.0,17.0,877.0,4059.0,17.0,3767.0,3935.0,3858.0,3905.0,2791.0,10898.0,Bg 403,28.207770233440616,75.35032326346999,0.2044306305269392,4960.0
MATARA,3825.0,4239.0,6503.0,3779.0,4199.0,6485.0,3765.0,3688.0,3014.0,3406.0,11418.0,38884.0,Bg 403,28.819317525211545,75.96340455795946,0.3249124682909077,14567.0
HAMBANTOTA,30406.0,5649.0,1292.0,30390.0,5607.0,1292.0,5754.0,4364.0,3524.0,5468.0,32579.0,178137.0,Bw 364,31.590253661435675,63.21516034019328,0.2764273651777494,37347.0
MANNAR,15196.0,6477.0,444.0,15193.0,6476.0,444.0,3802.0,2972.0,746.0,3497.0,21113.0,73839.0,Bg 450,27.702718464605418,73.42237100470363,0.41780151332309245,22117.0
VAVUNIYA,4792.0,14342.0,4369.0,4779.0,14059.0,4171.0,3405.0,2745.0,2626.0,2861.0,21710.0,62101.0,Bg 94-1,31.7283339467674,75.9785179936507,0.3952330685215323,23503.0
MULATIVU,8772.0,5335.0,11545.0,8772.0,5335.0,11545.0,3537.0,3226.0,2824.0,3152.0,24203.0,76274.0,Bg 403,31.337454493692448,67.27411510904189,0.25254520550936277,25652.0
KILLINOCHCHI,11880.0,425.0,15578.0,11880.0,425.0,15207.0,3387.0,3261.0,3157.0,3258.0,24414.0,79545.0,Bg 252,26.370537943525076,68.07729692848143,0.22782703002938776,27883.0
BATTICALOA,30212.0,4014.0,37207.0,30212.0,4014.0,37207.0,3800.0,3220.0,2494.0,3088.0,63047.0,194671.0,Maa Wee,25.485529106126158,71.31852489313869,0.26390772245018007,71433.0
AMPARA,60740.0,3796.0,16017.0,60720.0,3457.0,15709.0,4487.0,3878.0,3018.0,4172.0,76347.0,318517.0,Suwandel,25.705446009641985,60.602135933331795,0.32708848275444236,80553.0
TRINCOMALEE,24819.0,10084.0,13700.0,24809.0,10065.0,13700.0,3684.0,2686.0,2483.0,3138.0,45126.0,141623.0,Bg 352,25.127552779560848,69.66237496749535,0.23041909224686288,48603.0
KURUNEGALA,17552.0,34443.0,26258.0,17523.0,34276.0,26058.0,4391.0,3568.0,3588.0,3760.0,77857.0,292723.0,Bg 379-2,25.661100725291497,66.34344020989634,0.3372446723547402,78253.0
PUTTALAM,6683.0,10406.0,2280.0,6595.0,10245.0,2193.0,4145.0,3305.0,3077.0,3570.0,16178.0,57756.0,At 353,29.7810474139145,69.82492056533744,0.27282349565737213,19369.0
ANURADHAPURA,55236.0,47959.0,15623.0,55089.0,47181.0,15087.0,4730.0,3240.0,2539.0,3849.0,94367.0,363239.0,Bg 300,25.498320539221602,63.59286395457754,0.3156141542555941,118818.0
POLONNARUWA,58842.0,7768.0,2877.0,58842.0,7737.0,2870.0,4383.0,4935.0,3696.0,4416.0,61434.0,271313.0,Maa Wee,27.23282941205633,86.71581842219685,0.28083795874059503,69487.0
BADULLA,10718.0,10022.0,5026.0,10718.0,10007.0,5026.0,3677.0,4051.0,2855.0,3662.0,21889.0,80152.0,At 307,30.91412717678618,77.80777360662145,0.2383397278625753,25766.0
MONARAGALA,9454.0,11767.0,14407.0,9446.0,11741.0,14386.0,4913.0,4429.0,3058.0,4003.0,34861.0,139548.0,Bg 374,25.16290355015078,80.37306957433469,0.434535992088647,35628.0
RATNAPURA,4683.0,6687.0,3271.0,4683.0,6662.0,3253.0,5292.0,3262.0,2578.0,3761.0,12409.0,46666.0,Bg 379-2,30.70127937812255,83.67513715822015,0.37908173824792823,14641.0
COLOMBO,231.0,205.0,1575.0,231.0,205.0,1575.0,2526.0,2180.0,2646.0,2584.0,1710.0,4419.0,Bg 359,26.9729834234138,74.95326596787172,0.19203395272993576,2011.0
GAMPAHA,1289.0,1229.0,4519.0,1289.0,1227.0,4514.0,3152.0,3497.0,3022.0,3129.0,5976.0,18700.0,Moddaikaruppan,25.827153793351595,62.60760864262271,0.4105403927693738,7037.0
KALUTARA,47.0,726.0,5844.0,47.0,725.0,5839.0,2991.0,2410.0,2476.0,2472.0,6099.0,15078.0,Suwandel,29.877160157549056,76.11319625455644,0.29622935947485407,6617.0
KANDY,4190.0,2671.0,2028.0,4190.0,2671.0,2028.0,4663.0,2938.0,2981.0,3761.0,7029.0,26435.0,Bg 251,29.40259992745919,77.60523354062637,0.4183656680682275,8889.0
MATALE,7217.0,4409.0,936.0,7205.0,4398.0,934.0,4588.0,4129.0,2911.0,4302.0,11274.0,48503.0,Bg 369,31.142304094689372,82.36318422552989,0.3899565767841946,12562.0
NUWARAELIYA,396.0,1686.0,2.0,387.0,1676.0,2.0,4842.0,3732.0,3858.0,3941.0,1164.0,4587.0,H4,30.1454973066272,72.94978638689038,0.27756405134077006,2084.0
MATARA,2687.0,3141.0,4024.0,2687.0,3141.0,4024.0,4453.0,4035.0,3594.0,3969.0,7778.0,30869.0,H4,30.62436651269394,63.82740908386691,0.1567407924960352,9852.0
HAMBANTOTA,29034.0,5692.0,1005.0,29030.0,5685.0,1005.0,6224.0,5402.0,3504.0,6017.0,31209.0,187772.0,Bg 251,26.974242007999145,68.51327717396174,0.23060320781548382,35731.0
MANNAR,6500.0,4529.0,2786.0,6500.0,4524.0,2767.0,4813.0,4240.0,3301.0,4578.0,10526.0,48184.0,Bg 310,26.24207680645806,70.89246889195906,0.3124902643982601,13815.0
VAVUNIYA,3609.0,4665.0,2786.0,3604.0,4658.0,2767.0,4275.0,3949.0,3301.0,4092.0,7795.0,31895.0,Maa Wee,30.254303261486008,79.37751723994803,0.3400434659478442,11060.0
MULATIVU,5609.0,2315.0,2786.0,5609.0,2315.0,2767.0,4956.0,4448.0,3301.0,4808.0,7476.0,35946.0,At 362,30.64784317487085,77.12334914006736,0.22736630562996069,10710.0
KILLINOCHCHI,11041.0,185.0,91.0,11041.0,185.0,91.0,4735.0,3741.0,4851.0,4719.0,10042.0,47395.0,Bg 300,31.933535994004714,70.68290177693538,0.19180682222184725,11317.0
BATTICALOA,28601.0,4430.0,81.0,28601.0,4430.0,81.0,4780.0,4551.0,2728.0,4745.0,29224.0,138654.0,Moddaikaruppan,27.888323738379984,89.59545746378939,0.40047907103978975,33112.0
AMPARA,61980.0,2530.0,481.0,61980.0,2530.0,481.0,5291.0,4885.0,5284.0,5275.0,62111.0,327621.0,Bw 312,27.60412660054948,78.17324458070661,0.4453206542110657,64991.0
TRINCOMALEE,24921.0,6245.0,2786.0,24921.0,6245.0,2767.0,5294.0,4731.0,3301.0,5181.0,28953.0,150014.0,At 362,30.434890725193977,67.11680375207983,0.3077070546908057,33952.0
KURUNEGALA,16897.0,31350.0,20968.0,16892.0,31312.0,20846.0,5145.0,4125.0,4002.0,4337.0,69050.0,299492.0,At 362,27.385624781771124,63.05347417861211,0.20150378575449104,69215.0
PUTTALAM,8265.0,8766.0,957.0,8248.0,8736.0,945.0,4103.0,3641.0,3351.0,3838.0,15240.0,58496.0,Bg 403,31.515301279224953,64.58577417552996,0.2316921979558107,17988.0
ANURADHAPURA,47906.0,32230.0,2555.0,47863.0,32198.0,2552.0,5201.0,4730.0,5007.0,5011.0,66428.0,332886.0,Bg 250,31.008889262901082,67.37873185153525,0.15551720296424001,82691.0
POLONNARUWA,58909.0,7858.0,281.0,58909.0,7858.0,281.0,5304.0,4401.0,3686.0,5191.0,59311.0,307904.0,Moddaikaruppan,28.00295819162513,64.82044119778666,0.4242896419681498,67048.0
BADULLA,8225.0,4162.0,25.0,8224.0,4162.0,25.0,4540.0,4243.0,4141.0,4440.0,10549.0,46834.0,H4,30.256097474540482,65.59701072153918,0.18532532486704234,12412.0
MONARAGALA,8545.0,8269.0,2484.0,8545.0,8269.0,2484.0,4659.0,4129.0,2847.0,4199.0,18913.0,79415.0,Suwandel,30.281800118592777,68.55285506081542,0.3229549426542761,19298.0
RATNAPURA,4392.0,4313.0,1192.0,4392.0,4229.0,1188.0,6169.0,3896.0,3122.0,4820.0,8337.0,40186.0,Bg 352,25.721867081851528,65.20120785884265,0.23221656620616182,9897.0
COLOMBO,321.0,646.0,2690.0,321.0,638.0,2689.0,3517.0,3318.0,3408.0,3402.0,3100.0,10547.0,Bw 363,31.317870346756965,86.90296273879275,0.31625340075473807,3657.0
GAMPAHA,1557.0,1673.0,7404.0,1517.0,1614.0,7275.0,2896.0,2839.0,3285.0,3159.0,8845.0,27942.0,At 362,28.536766607135,62.40701236984927,0.3454261165055593,10634.0
KALUTARA,78.0,1462.0,10007.0,75.0,1461.0,9957.0,2507.0,2790.0,3071.0,3032.0,10603.0,32142.0,Ld 253,30.78520226275419,75.73534168710763,0.3989225411121605,11547.0
KANDY,4365.0,5472.0,2984.0,4365.0,5470.0,2983.0,4745.0,3513.0,3098.0,3836.0,10137.0,38881.0,H4,27.24034720721428,72.31190480968985,0.21192638152818097,12821.0
MATALE,7365.0,7113.0,4398.0,7332.0,7106.0,4358.0,4713.0,4160.0,3975.0,4333.0,16903.0,73239.0,At 307,31.2686625994734,89.47135850725819,0.15329874859754414,18876.0
NUWARAELIYA,709.0,3805.0,13.0,709.0,3802.0,13.0,4388.0,4212.0,3785.0,4238.0,2549.0,10804.0,H4,27.724411751139144,63.36116706504157,0.1910656890206422,4527.0
MATARA,2537.0,2731.0,5108.0,2448.0,2691.0,5062.0,3395.0,3014.0,3119.0,3158.0,8054.0,25432.0,Bg 366,25.075863560362087,71.93566797137225,0.4200055925544316,10376.0
HAMBANTOTA,29547.0,5764.0,1216.0,29174.0,5593.0,1191.0,6005.0,4464.0,3052.0,5668.0,31417.0,178053.0,Bg 94-1,31.337673834934847,89.08411299826106,0.41216702326875465,36527.0
MANNAR,19739.0,7763.0,480.0,19739.0,7763.0,480.0,4580.0,3847.0,1708.0,4327.0,26717.0,115602.0,Bw 312,25.639006737502935,85.96521377681941,0.3292239306510925,27982.0
VAVUNIYA,4736.0,14332.0,4344.0,4655.0,13956.0,4175.0,4242.0,3866.0,3510.0,3878.0,21498.0,83359.0,Pokkali,27.235195463132904,84.5121621284784,0.33015505813009605,23412.0
MULATIVU,8952.0,5460.0,11230.0,8450.0,5188.0,9436.0,3387.0,3393.0,2458.0,3009.0,21771.0,65506.0,Bg 251,31.650433769355637,67.7370848113482,0.34951100236387667,25642.0
KILLINOCHCHI,11880.0,425.0,15556.0,11839.0,425.0,15553.0,2035.0,2203.0,1977.0,2005.0,24684.0,49494.0,Bg 360,31.654250028562892,65.12662762170197,0.20261138358703487,27861.0
BATTICALOA,30219.0,4142.0,37178.0,26347.0,3806.0,36838.0,2434.0,2491.0,2385.0,2410.0,59127.0,142522.0,Kalu Heenati,29.014065216863003,80.05929659773292,0.424323583777488,71539.0
AMPARA,61229.0,4118.0,16026.0,53088.0,3352.0,14605.0,4327.0,2573.0,2811.0,3933.0,67898.0,267017.0,At 307,29.422860485188593,87.88127967382758,0.27563115746762196,81373.0
TRINCOMALEE,24685.0,9982.0,13816.0,24685.0,9982.0,13816.0,4152.0,2765.0,2548.0,3409.0,45040.0,153558.0,Ld 368,28.13911865384824,76.70288679041789,0.26494155847484924,48483.0
KURUNEGALA,16000.0,34066.0,25241.0,15950.0,33754.0,24978.0,4141.0,3429.0,3461.0,3592.0,74682.0,268234.0,Bg 94-1,27.05247540188645,77.14838068409699,0.3056753115848513,75307.0
PUTTALAM,8065.0,10515.0,2072.0,7482.0,10031.0,1987.0,4240.0,3575.0,3700.0,3843.0,16576.0,63699.0,Bw 400,27.30065181758941,68.39937280980853,0.1640897900325165,20652.0
ANURADHAPURA,55880.0,52816.0,16805.0,55807.0,52690.0,16774.0,5388.0,4151.0,3666.0,4637.0,100730.0,467075.0,Suwandel,29.70762919253927,83.0847879957581,0.19988501062682382,125501.0
POLONNARUWA,59222.0,7816.0,2945.0,59196.0,7702.0,2945.0,4822.0,4023.0,3937.0,4697.0,61783.0,290191.0,Bg 359,30.26662170606376,65.6113124567257,0.37141008492791117,69983.0
BADULLA,10914.0,9936.0,5206.0,10914.0,9935.0,5204.0,4486.0,4820.0,3891.0,4494.0,22145.0,99528.0,At 307,30.54105330608094,69.71037709212732,0.17483960037753793,26056.0
MONARAGALA,9375.0,11689.0,15421.0,9370.0,11686.0,15419.0,4871.0,4385.0,3515.0,4142.0,35745.0,148069.0,Bw 400,30.52732699956188,72.76309315849251,0.3309456328399165,36485.0
RATNAPURA,4486.0,5799.0,2645.0,4485.0,5787.0,2636.0,6144.0,3416.0,3109.0,4301.0,10971.0,47224.0,Bg 406,25.638442721340834,75.22831136053365,0.2236047329043963,12930.0
COLOMBO,299.0,504.0,2506.0,297.0,504.0,2499.0,3289.0,3382.0,2717.0,2870.0,2805.0,8051.0,Bg 300,28.46094213291807,67.27229197245241,0.26678868421259294,3309.0
GAMPAHA,1410.0,1494.0,7022.0,1407.0,1494.0,7008.0,3277.0,2906.0,3391.0,3302.0,8423.0,27810.0,Bw 364,25.40291132011651,63.445104742176106,0.23660812103120998,9926.0
KALUTARA,59.0,985.0,8589.0,59.0,982.0,8589.0,3167.0,2988.0,2695.0,2727.0,8884.0,24229.0,Kuruluthuda,28.84670217626615,78.31860127324897,0.25670181493948474,9633.0
KANDY,4332.0,4288.0,2582.0,4332.0,4288.0,2581.0,3833.0,3261.0,3252.0,3480.0,8858.0,30827.0,Bw 363,28.09071350961364,68.65891659720768,0.3657137715552737,11202.0
MATALE,7453.0,6162.0,4174.0,7451.0,6155.0,4173.0,4649.0,4377.0,4447.0,4507.0,15989.0,72064.0,Ld 253,31.213929279308097,77.43714664267837,0.23913651468695252,17789.0
NUWARAELIYA,684.0,3679.0,11.0,675.0,3671.0,11.0,3290.0,3174.0,1635.0,3188.0,2455.0,7826.0,Bg 300,27.45640508786455,64.63088145822607,0.31992139208906917,4374.0
MATARA,2922.0,3156.0,4733.0,2922.0,3154.0,4733.0,4112.0,3427.0,3121.0,3479.0,8534.0,29671.0,Bw 363,25.81946911499324,74.43420305564453,0.2928151206597299,10811.0
HAMBANTOTA,29320.0,5891.0,1127.0,29213.0,5834.0,1127.0,6043.0,4452.0,4063.0,5725.0,31606.0,180925.0,Bw 364,26.00094177436985,75.97768297654758,0.34910134960879446,36338.0
MANNAR,14259.0,6349.0,497.0,14187.0,6184.0,458.0,5315.0,3627.0,3569.0,4776.0,19887.0,94978.0,H4,30.330574422022305,61.55470610467281,0.4310489217974275,21105.0
VAVUNIYA,4754.0,14309.0,4207.0,4592.0,13854.0,4130.0,3127.0,3677.0,4015.0,3627.0,21300.0,77250.0,Bw 367,29.327526443213827,70.09812834581761,0.36977162916307516,23270.0
MULATIVU,8988.0,5465.0,11184.0,7532.0,4678.0,9407.0,3544.0,3161.0,2317.0,2927.0,20395.0,59691.0,Suwandel,25.70785873285953,64.03244030816923,0.21448211357722702,25637.0
KILLINOCHCHI,11880.0,425.0,15557.0,11841.0,425.0,15540.0,2663.0,2659.0,2397.0,2514.0,24675.0,62033.0,Murungakayan,25.588747642804982,61.90124911418303,0.1593549405183854,27862.0
BATTICALOA,30219.0,4142.0,37176.0,29229.0,4031.0,37032.0,2529.0,2294.0,2549.0,2526.0,62040.0,156727.0,Maa Wee,29.90678392021384,89.69880697169836,0.22867921328994753,71537.0
AMPARA,62340.0,4108.0,15009.0,57310.0,3611.0,14022.0,4223.0,4252.0,2676.0,3935.0,71623.0,281814.0,Bw 361,25.509341044549355,69.67061534924169,0.32852337921007646,81457.0
TRINCOMALEE,24681.0,9871.0,13767.0,24681.0,9871.0,13767.0,4290.0,3982.0,3159.0,3905.0,44888.0,175283.0,Murungakayan,30.753020415032495,84.29623337563905,0.1654277440452751,48319.0
KURUNEGALA,18358.0,36552.0,27001.0,18327.0,36167.0,26849.0,4656.0,3968.0,3540.0,3982.0,81343.0,323867.0,Bg 352,29.943695590095473,67.63921964291292,0.29890987416037096,81911.0
PUTTALAM,8170.0,10137.0,1882.0,8099.0,9906.0,1818.0,4514.0,3618.0,3489.0,3972.0,16849.0,66930.0,Bg 94-1,25.5694414644933,80.44508166671788,0.3290528546750668,20189.0
ANURADHAPURA,56577.0,53536.0,17404.0,56485.0,53383.0,17335.0,5032.0,3759.0,3307.0,4263.0,102284.0,435988.0,Bg 403,25.593863998596344,82.80683579669059,0.25027316724508825,127517.0
POLONNARUWA,59401.0,7852.0,2923.0,59290.0,7421.0,2923.0,4831.0,4772.0,4099.0,4794.0,61598.0,295310.0,Bg 252,31.90647704950823,77.86916221823533,0.3812736611237466,70176.0
BADULLA,10677.0,9496.0,5124.0,10677.0,9496.0,5124.0,4147.0,4224.0,3144.0,3973.0,21502.0,85428.0,Bg 250,27.619895570292844,74.14728565650475,0.18197947594013153,25297.0
MONARAGALA,9236.0,11355.0,15247.0,9236.0,11355.0,15247.0,5326.0,4299.0,3301.0,4139.0,35121.0,145378.0,Attakkari,27.594495029468238,72.35522742441806,0.17254133452074263,35838.0
RATNAPURA,4454.0,5348.0,2202.0,4454.0,5348.0,2202.0,6592.0,3124.0,3167.0,4419.0,10204.0,45085.0,Bg 450,30.68959697080252,70.46604799628986,0.36845662686108105,12004.0
COLOMBO,210.0,278.0,1730.0,208.0,278.0,1729.0,2133.0,2542.0,2372.0,2371.0,1883.0,4464.0,Pachchaperumal,31.630740041687012,87.88587432743478,0.29864739486185954,2218.0
GAMPAHA,1570.0,1481.0,5609.0,1454.0,1474.0,5539.0,2370.0,3242.0,2424.0,2557.0,7197.0,18401.0,Bw 367,31.902007446760095,84.91858223363187,0.3565207189283208,8660.0
KALUTARA,112.0,1090.0,7930.0,112.0,1090.0,7913.0,3122.0,2946.0,2415.0,2487.0,8408.0,20913.0,Bw 400,30.27364729681259,88.95080731999538,0.2804482015811239,9132.0
KANDY,4196.0,3296.0,2408.0,4196.0,3266.0,2399.0,4811.0,2846.0,3172.0,3762.0,7798.0,29335.0,Ld 253,27.63381709871641,63.728916704566345,0.22392060997173205,9900.0
MATALE,6820.0,4124.0,813.0,6771.0,4039.0,756.0,4293.0,3716.0,2527.0,3976.0,10402.0,41359.0,At 362,25.58450501689068,81.92602425610933,0.39573069530225996,11757.0
NUWARAELIYA,520.0,1916.0,3.0,520.0,1913.0,3.0,4177.0,4104.0,3694.0,4119.0,1372.0,5653.0,Bg 352,30.440028411492058,88.15021370463114,0.3898247636906938,2439.0
MATARA,3469.0,3941.0,5562.0,2201.0,2697.0,4811.0,3573.0,2930.0,2775.0,2999.0,7666.0,22989.0,Bg 310,28.908829748150637,65.43699198496981,0.35840894125632805,12972.0
HAMBANTOTA,29254.0,4558.0,1135.0,27781.0,4128.0,1011.0,5289.0,4253.0,2938.0,5087.0,28762.0,146310.0,Bg 360,27.969554064728833,61.99488802100333,0.23164354116898883,34947.0
MANNAR,1983.0,391.0,2786.0,1982.0,387.0,2767.0,5045.0,3704.0,3301.0,4826.0,2262.0,10918.0,Moddaikaruppan,31.34448069566315,82.23361947870177,0.32706920006072615,5160.0
VAVUNIYA,2063.0,3640.0,2786.0,2036.0,3494.0,2767.0,4068.0,4074.0,3301.0,4071.0,5218.0,21243.0,H4,25.77838237614306,77.23419339539736,0.258292169082008,8489.0
MULATIVU,4203.0,1549.0,2786.0,4203.0,1549.0,2767.0,4428.0,4389.0,3301.0,4418.0,5427.0,23973.0,Bg 359,28.448375730036012,85.25486330274816,0.17747462199799025,8538.0
KILLINOCHCHI,6807.0,75.0,2786.0,6807.0,75.0,2767.0,3999.0,3010.0,3301.0,3988.0,6107.0,24355.0,Pachchaperumal,25.079475513371932,64.19317129878868,0.4251940726386729,9668.0
BATTICALOA,29078.0,4418.0,70.0,29078.0,4418.0,70.0,3580.0,3401.0,3549.0,3557.0,29625.0,105366.0,Bw 363,28.280624493958882,83.8580193557967,0.19104558927568843,33566.0
AMPARA,60510.0,2308.0,366.0,60506.0,2304.0,366.0,4358.0,3986.0,3251.0,4338.0,60377.0,261938.0,Bw 400,25.394122929772863,66.04881960143234,0.43507120614624073,63184.0
TRINCOMALEE,23787.0,4726.0,136.0,23787.0,4726.0,136.0,4979.0,3757.0,3577.0,4771.0,26615.0,126977.0,Bg 300,25.831725413876505,64.90967828597114,0.2838017318873868,28649.0
KURUNEGALA,15199.0,28892.0,21197.0,14993.0,26925.0,17933.0,4237.0,3301.0,3004.0,3447.0,59851.0,206292.0,Bw 364,25.822683727439735,64.92797393792979,0.2055398786515859,65288.0
PUTTALAM,8189.0,8341.0,1142.0,8180.0,8049.0,1041.0,4180.0,3443.0,3730.0,3810.0,14680.0,55932.0,Bg 251,29.544472114812443,84.43724160694146,0.31257028421350747,17672.0
ANURADHAPURA,43099.0,22007.0,418.0,42888.0,21549.0,415.0,4563.0,3790.0,3969.0,4302.0,52148.0,224321.0,Suwandel,30.222314154857962,79.955916620886,0.4118837507629225,65524.0
POLONNARUWA,58149.0,7852.0,32.0,58147.0,7811.0,32.0,4986.0,4421.0,3686.0,4918.0,58375.0,287105.0,Bg 251,29.083581355680117,75.69196274307357,0.36966746592286837,66033.0
BADULLA,8251.0,4785.0,163.0,8251.0,4762.0,163.0,4592.0,4491.0,4451.0,4554.0,11200.0,51003.0,Bg 94-1,31.735207839321795,70.76491452370507,0.391968344358435,13199.0
MONARAGALA,8277.0,6787.0,1497.0,8274.0,6737.0,1479.0,4455.0,3823.0,2555.0,4026.0,16160.0,65066.0,Bg 374,27.62409405666593,86.31601622439325,0.34763501001321523,16561.0
RATNAPURA,4430.0,4584.0,1473.0,4397.0,4564.0,1463.0,5661.0,3164.0,3002.0,4195.0,8861.0,37169.0,Kuruluthuda,26.999984603973026,71.77335322267906,0.35768296935535576,10487.0
COLOMBO,324.0,710.0,2796.0,324.0,710.0,2777.0,3321.0,2236.0,2500.0,2521.0,3239.0,8166.0,Pokkali,31.08019389732622,84.49798318414732,0.40475869546959586,3830.0
GAMPAHA,1659.0,3076.0,6776.0,1556.0,3036.0,6610.0,2056.0,2671.0,3105.0,2842.0,9522.0,27059.0,Murungakayan,26.56517086963617,73.17404725710655,0.2249004026577558,11511.0
KALUTARA,145.0,1573.0,10221.0,129.0,1544.0,9893.0,3716.0,2341.0,2583.0,2563.0,10669.0,27349.0,Bw 364,31.74255777608428,71.30833288274722,0.29682748909294215,11939.0
KANDY,4268.0,5181.0,2762.0,4268.0,5176.0,2757.0,3092.0,3190.0,3540.0,3235.0,9649.0,31211.0,Pachchaperumal,25.085081322828714,73.88039357008819,0.21636283254588068,12211.0
MATALE,7628.0,7839.0,4525.0,7593.0,7815.0,4512.0,3089.0,3601.0,3304.0,3339.0,17914.0,59812.0,Bg 252,31.789151786953475,69.04133622492427,0.44630040239899416,19992.0
NUWARAELIYA,900.0,4133.0,11.0,900.0,4126.0,8.0,4652.0,3763.0,3870.0,3922.0,2836.0,11126.0,Pachchaperumal,25.302119383654034,82.42828140528754,0.433217801905984,5044.0
GALLE,144.0,1756.0,9335.0,144.0,1706.0,9071.0,2653.0,2825.0,2453.0,2514.0,8546.0,21486.0,Bg 252,31.238001795886497,75.08161170277438,0.16182804341055176,11235.0
MATARA,4259.0,3193.0,6233.0,4105.0,2963.0,6110.0,3149.0,2625.0,2573.0,2764.0,10404.0,28761.0,Bg 406,28.6939077636041,66.96638085440452,0.3616725517547066,13685.0
HAMBANTOTA,29498.0,5463.0,1143.0,29438.0,5438.0,1131.0,4144.0,3180.0,3202.0,3969.0,31459.0,124870.0,Bw 361,31.950753572835104,86.98723719823705,0.4275744952246998,36104.0
MANNAR,16114.0,4257.0,95.0,15995.0,4094.0,82.0,2702.0,2534.0,1304.0,2662.0,19259.0,51276.0,Bw 361,25.516575953147793,71.51673664119635,0.20417260353820005,20466.0
VAVUNIYA,4432.0,12374.0,2053.0,4432.0,12374.0,2053.0,2524.0,2377.0,2020.0,2373.0,17793.0,42222.0,At 362,28.876979990809247,76.30658583341966,0.32038356916578886,18859.0
MULATIVU,8095.0,4462.0,7433.0,8013.0,4411.0,7404.0,2267.0,2619.0,2158.0,2305.0,18707.0,43110.0,Pachchaperumal,31.785117749333693,87.19416332893641,0.4246464892764126,19990.0
KILLINOCHCHI,12171.0,577.0,14655.0,12171.0,577.0,14655.0,2847.0,2791.0,2172.0,2485.0,24317.0,60417.0,Bw 400,28.66168490919104,78.72713987741976,0.16018379357573964,27403.0
BATTICALOA,24312.0,3830.0,38378.0,24312.0,3830.0,38378.0,1918.0,1717.0,1456.0,1639.0,58711.0,96253.0,Kuruluthuda,29.40579046694684,63.50694122125092,0.359226080174052,66520.0
AMPARA,61692.0,4643.0,16107.0,61535.0,4612.0,15083.0,3046.0,2680.0,2141.0,2857.0,77631.0,221529.0,Suwandel,29.87024082289232,88.19496370840426,0.23920470221176524,82442.0
