District,Zone,Season,Salinity_Prone,Iron_Toxicity_Prone,Variety_Code
Vavuniya,Dry Zone,Maha,Yes,No,Bg 369
Puttalam,Dry Zone,Maha,Yes,No,Bg 369
Badulla,Intermediate Zone,Yala,No,No,Ld 368
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 367
Kegalle,Wet Zone,Maha,No,No,At 307
Ratnapura,Wet Zone,Maha,No,Yes,Bw 364
Trincomalee,Dry Zone,Maha,Yes,No,At 353
Trincomalee,Dry Zone,Maha,Yes,No,Bg 310
Kurunegala,Intermediate Zone,Maha,No,Yes,Bw 312
Batticaloa,Dry Zone,Yala,No,No,Bg 94-1
Kandy,Intermediate Zone,Annual,Yes,Yes,Bw 400
Kalutara,Wet Zone,Yala,No,No,Bg 357
Matara,Wet Zone,Yala,Yes,Yes,Bw 400
Matale,Intermediate Zone,Yala,No,No,At 307
Gampaha,Wet Zone,Annual,No,No,Bg 379-2
Killinochchi,Dry Zone,Maha,No,Yes,Bw 312
Puttalam,Dry Zone,Annual,No,Yes,Bw 312
Kurunegala,Intermediate Zone,Maha,No,No,At 303
Matara,Wet Zone,Annual,Yes,No,At 353
Trincomalee,Dry Zone,Maha,Yes,Yes,Bw 400
Kalutara,Wet Zone,Yala,No,No,Bg 94-1
Matale,Intermediate Zone,Maha,No,No,Bg 366
Ampara,Dry Zone,Maha,No,No,Bg 374
Ampara,Dry Zone,Maha,Yes,No,Bg 369
Ratnapura,Wet Zone,Maha,Yes,No,At 353
Matale,Intermediate Zone,Maha,No,No,Bg 300
Puttalam,Dry Zone,Maha,No,No,At 362
Mannar,Dry Zone,Maha,No,Yes,Bw 372
Killinochchi,Dry Zone,Maha,No,No,Bg 359
Ratnapura,Wet Zone,Yala,No,No,Bg 250
Badulla,Intermediate Zone,Maha,No,No,At 362
Ampara,Dry Zone,Yala,Yes,Yes,Bw 400
Matale,Intermediate Zone,Yala,No,No,Bg 379-2
Mullaitivu,Dry Zone,Maha,No,No,Bg 374
Kalutara,Wet Zone,Maha,No,No,Bg 357
Ratnapura,Wet Zone,Maha,No,No,At 362
Matara,Wet Zone,Yala,No,No,At 362
Kalutara,Wet Zone,Maha,No,No,Bg 300
Mullaitivu,Dry Zone,Yala,No,No,Bg 374
Monaragala,Intermediate Zone,Maha,Yes,No,At 353
Batticaloa,Dry Zone,Maha,No,No,Bg 359
Gampaha,Wet Zone,Annual,No,No,Bg 359
Ratnapura,Wet Zone,Maha,No,No,At 303
Batticaloa,Dry Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Yala,No,No,Bg 379-2
Hambantota,Dry Zone,Annual,No,No,Bg 94-1
Kalutara,Wet Zone,Maha,No,No,Bg 374
Ratnapura,Wet Zone,Maha,Yes,Yes,Bw 400
Polonnaruwa,Dry Zone,Maha,No,No,At 303
Ratnapura,Wet Zone,Annual,No,Yes,Bw 367
Mullaitivu,Dry Zone,Maha,No,No,Bg 374
Vavuniya,Dry Zone,Maha,Yes,No,At 353
Hambantota,Dry Zone,Maha,No,No,Bg 352
Hambantota,Dry Zone,Maha,No,No,At 362
Kandy,Intermediate Zone,Yala,No,No,Bg 352
Killinochchi,Dry Zone,Yala,No,No,Bg 250
Ratnapura,Wet Zone,Maha,No,No,At 303
Vavuniya,Dry Zone,Maha,No,No,Bg 366
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 364
Ampara,Dry Zone,Maha,Yes,Yes,Bw 400
Monaragala,Intermediate Zone,Annual,No,Yes,Bw 367
Kandy,Intermediate Zone,Maha,No,Yes,Bw 372
Batticaloa,Dry Zone,Maha,No,No,Attakkari
Mannar,Dry Zone,Maha,No,Yes,Bw 367
Galle,Wet Zone,Maha,No,No,Bg 366
Mannar,Dry Zone,Yala,No,No,Bg 250
Killinochchi,Dry Zone,Yala,No,No,At 362
Kandy,Intermediate Zone,Yala,No,No,Bg 359
Matara,Wet Zone,Yala,No,No,Bg 94-1
Ampara,Dry Zone,Maha,No,No,Bg 94-1
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 372
Matara,Wet Zone,Maha,No,Yes,Bw 312
Kandy,Intermediate Zone,Maha,Yes,No,At 353
Badulla,Intermediate Zone,Maha,No,No,Bg 94-1
Anuradhapura,Dry Zone,Maha,No,No,At 362
Kegalle,Wet Zone,Maha,No,No,Bg 360
Kandy,Intermediate Zone,Maha,Yes,No,At 354
Mannar,Dry Zone,Maha,Yes,No,Bg 310
Kegalle,Wet Zone,Annual,No,No,Bg 360
Ampara,Dry Zone,Maha,No,No,Attakkari
Batticaloa,Dry Zone,Yala,Yes,No,At 354
Batticaloa,Dry Zone,Yala,No,No,At 362
Galle,Wet Zone,Yala,No,Yes,Bw 372
Galle,Wet Zone,Maha,No,No,Bg 379-2
Matara,Wet Zone,Maha,No,Yes,Bw 372
Anuradhapura,Dry Zone,Maha,No,No,Bg 366
Matale,Intermediate Zone,Annual,No,No,Bg 374
Trincomalee,Dry Zone,Maha,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Yala,No,No,Attakkari
Matara,Wet Zone,Yala,No,Yes,Bw 364
Anuradhapura,Dry Zone,Maha,No,No,At 362
Ratnapura,Wet Zone,Maha,No,No,At 307
Kurunegala,Intermediate Zone,Maha,Yes,No,At 353
Galle,Wet Zone,Yala,No,No,Bg 250
Mullaitivu,Dry Zone,Yala,No,No,Bg 300
Mullaitivu,Dry Zone,Maha,Yes,No,At 353
Vavuniya,Dry Zone,Yala,No,No,Bg 352
Kurunegala,Intermediate Zone,Maha,No,No,Bg 300
Mannar,Dry Zone,Yala,No,No,Bg 374
Kegalle,Wet Zone,Yala,No,No,Bg 94-1
Batticaloa,Dry Zone,Maha,No,No,At 303
Monaragala,Intermediate Zone,Maha,No,No,Bg 300
Gampaha,Wet Zone,Maha,No,No,Bg 352
Ratnapura,Wet Zone,Yala,No,Yes,Bw 372
Batticaloa,Dry Zone,Maha,No,No,At 303
Galle,Wet Zone,Yala,No,No,Attakkari
Kalutara,Wet Zone,Maha,No,No,Bg 300
Badulla,Intermediate Zone,Maha,No,No,Attakkari
Kegalle,Wet Zone,Maha,Yes,No,Bg 310
Trincomalee,Dry Zone,Yala,No,No,Bg 366
Puttalam,Dry Zone,Yala,No,No,Bg 379-2
Hambantota,Dry Zone,Yala,No,No,Bg 374
Vavuniya,Dry Zone,Maha,No,Yes,Bw 372
Polonnaruwa,Dry Zone,Maha,No,No,Bg 379-2
Vavuniya,Dry Zone,Maha,No,No,At 307
Hambantota,Dry Zone,Yala,No,No,Bg 374
Kegalle,Wet Zone,Yala,No,No,Bg 374
Puttalam,Dry Zone,Yala,No,No,At 303
Trincomalee,Dry Zone,Yala,No,No,Bg 357
Killinochchi,Dry Zone,Maha,No,Yes,Bw 312
Puttalam,Dry Zone,Yala,No,No,Bg 379-2
Killinochchi,Dry Zone,Maha,Yes,No,At 353
Galle,Wet Zone,Maha,Yes,No,At 354
Matale,Intermediate Zone,Yala,No,No,Bg 300
Matara,Wet Zone,Annual,No,No,Bg 360
Mannar,Dry Zone,Maha,No,No,Bg 352
Galle,Wet Zone,Maha,No,No,Bg 250
Vavuniya,Dry Zone,Yala,No,Yes,Bw 367
Mannar,Dry Zone,Yala,Yes,No,At 353
Vavuniya,Dry Zone,Annual,Yes,No,At 353
Ratnapura,Wet Zone,Yala,No,No,Bg 300
Kegalle,Wet Zone,Maha,No,No,At 303
Vavuniya,Dry Zone,Maha,Yes,Yes,Bw 400
Batticaloa,Dry Zone,Maha,No,Yes,Bw 372
Kalutara,Wet Zone,Maha,No,No,Bg 379-2
Batticaloa,Dry Zone,Maha,No,No,Bg 374
Gampaha,Wet Zone,Maha,No,Yes,Bw 364
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 364
Galle,Wet Zone,Yala,No,Yes,Bw 367
Vavuniya,Dry Zone,Yala,No,Yes,Bw 372
Batticaloa,Dry Zone,Yala,No,Yes,Bw 367
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 312
Kegalle,Wet Zone,Maha,No,No,Bg 357
Kalutara,Wet Zone,Yala,No,No,Bg 300
Puttalam,Dry Zone,Yala,No,Yes,Bw 367
Monaragala,Intermediate Zone,Yala,No,No,Bg 366
Trincomalee,Dry Zone,Yala,No,No,Bg 352
Trincomalee,Dry Zone,Maha,No,No,Bg 94-1
Monaragala,Intermediate Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Yala,Yes,No,Bg 369
Galle,Wet Zone,Yala,No,No,At 307
Batticaloa,Dry Zone,Yala,No,No,Ld 368
Matale,Intermediate Zone,Yala,No,No,Ld 368
Galle,Wet Zone,Yala,Yes,Yes,Bw 400
Hambantota,Dry Zone,Annual,No,No,At 362
Kegalle,Wet Zone,Maha,No,No,Bg 366
Ratnapura,Wet Zone,Yala,No,No,At 307
Kegalle,Wet Zone,Maha,No,Yes,Bw 372
Matale,Intermediate Zone,Yala,Yes,No,Bg 310
Matara,Wet Zone,Yala,No,Yes,Bw 312
Puttalam,Dry Zone,Maha,Yes,No,At 354
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 312
Mullaitivu,Dry Zone,Maha,Yes,Yes,Bw 400
Vavuniya,Dry Zone,Yala,No,No,Bg 250
Mullaitivu,Dry Zone,Maha,Yes,No,At 354
Monaragala,Intermediate Zone,Yala,No,No,Bg 94-1
Gampaha,Wet Zone,Yala,No,No,Bg 352
Kalutara,Wet Zone,Annual,Yes,No,Bg 310
Mannar,Dry Zone,Yala,No,Yes,Bw 372
Trincomalee,Dry Zone,Yala,No,Yes,Bw 372
Matale,Intermediate Zone,Yala,No,No,Bg 250
Trincomalee,Dry Zone,Yala,No,No,Bg 352
Badulla,Intermediate Zone,Maha,No,No,At 303
Matale,Intermediate Zone,Maha,No,Yes,Bw 372
Badulla,Intermediate Zone,Yala,No,Yes,Bw 367
Hambantota,Dry Zone,Yala,No,No,Bg 360
Mullaitivu,Dry Zone,Maha,Yes,No,At 353
Badulla,Intermediate Zone,Maha,No,No,Bg 94-1
Anuradhapura,Dry Zone,Maha,Yes,No,Bg 310
Badulla,Intermediate Zone,Yala,Yes,Yes,Bw 400
Batticaloa,Dry Zone,Yala,No,No,Bg 360
Kegalle,Wet Zone,Yala,No,No,Bg 352
Galle,Wet Zone,Maha,No,Yes,Bw 372
Puttalam,Dry Zone,Yala,No,No,At 303
Ampara,Dry Zone,Yala,Yes,No,At 354
Hambantota,Dry Zone,Maha,No,No,Bg 250
Gampaha,Wet Zone,Maha,Yes,No,Bg 310
Kandy,Intermediate Zone,Yala,No,No,Attakkari
Kalutara,Wet Zone,Yala,Yes,No,At 354
Badulla,Intermediate Zone,Yala,No,No,Bg 300
Ratnapura,Wet Zone,Maha,No,No,Bg 352
Kalutara,Wet Zone,Maha,No,No,Ld 368
Killinochchi,Dry Zone,Yala,No,No,Bg 250
Anuradhapura,Dry Zone,Yala,No,No,Attakkari
Killinochchi,Dry Zone,Maha,No,No,At 362
Ampara,Dry Zone,Yala,No,No,At 307
Killinochchi,Dry Zone,Yala,No,No,At 362
Kandy,Intermediate Zone,Annual,No,Yes,Bw 312
Badulla,Intermediate Zone,Maha,No,Yes,Bw 372
Matale,Intermediate Zone,Yala,No,No,At 307
Monaragala,Intermediate Zone,Yala,Yes,No,Bg 310
Anuradhapura,Dry Zone,Annual,No,Yes,Bw 372
Puttalam,Dry Zone,Yala,No,No,Bg 94-1
Trincomalee,Dry Zone,Yala,No,No,Bg 379-2
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 312
Ratnapura,Wet Zone,Maha,No,No,Bg 359
Mullaitivu,Dry Zone,Yala,No,No,Bg 359
Hambantota,Dry Zone,Maha,Yes,No,Bg 369
Kalutara,Wet Zone,Annual,No,No,Bg 352
Gampaha,Wet Zone,Yala,No,No,Bg 360
Polonnaruwa,Dry Zone,Annual,Yes,Yes,Bw 400
Gampaha,Wet Zone,Annual,Yes,No,At 353
Batticaloa,Dry Zone,Annual,Yes,No,At 354
Mannar,Dry Zone,Annual,No,No,Bg 300
Ampara,Dry Zone,Yala,No,No,Bg 300
Killinochchi,Dry Zone,Maha,No,No,Bg 250
Kandy,Intermediate Zone,Maha,Yes,Yes,Bw 400
Badulla,Intermediate Zone,Maha,Yes,No,At 353
Matale,Intermediate Zone,Yala,No,No,Bg 374
Ampara,Dry Zone,Yala,No,No,Attakkari
Hambantota,Dry Zone,Yala,No,No,Bg 360
Kegalle,Wet Zone,Annual,Yes,Yes,Bw 400
Kurunegala,Intermediate Zone,Yala,No,Yes,Bw 372
Hambantota,Dry Zone,Maha,No,Yes,Bw 367
Vavuniya,Dry Zone,Yala,No,Yes,Bw 312
Mullaitivu,Dry Zone,Yala,Yes,No,Bg 310
Galle,Wet Zone,Yala,No,No,Bg 379-2
Badulla,Intermediate Zone,Yala,No,No,Bg 94-1
Ampara,Dry Zone,Yala,Yes,Yes,Bw 400
Gampaha,Wet Zone,Maha,Yes,Yes,Bw 400
Mannar,Dry Zone,Yala,No,Yes,Bw 364
Kurunegala,Intermediate Zone,Maha,No,No,At 362
Matale,Intermediate Zone,Maha,No,No,Bg 379-2
Monaragala,Intermediate Zone,Maha,No,No,Bg 94-1
Matara,Wet Zone,Annual,Yes,No,Bg 310
Hambantota,Dry Zone,Maha,No,No,Bg 250
Ampara,Dry Zone,Maha,Yes,Yes,Bw 400
Vavuniya,Dry Zone,Yala,No,No,Attakkari
Trincomalee,Dry Zone,Maha,No,No,At 303
Kegalle,Wet Zone,Maha,Yes,No,Bg 369
Kurunegala,Intermediate Zone,Yala,Yes,No,Bg 369
Mannar,Dry Zone,Yala,Yes,No,At 354
Mannar,Dry Zone,Maha,Yes,No,Bg 310
Mullaitivu,Dry Zone,Yala,Yes,No,At 353
Polonnaruwa,Dry Zone,Maha,No,No,Bg 250
Kegalle,Wet Zone,Maha,No,No,At 303
Matale,Intermediate Zone,Yala,No,No,Bg 357
Vavuniya,Dry Zone,Maha,No,No,Bg 374
Polonnaruwa,Dry Zone,Maha,No,No,Bg 379-2
Batticaloa,Dry Zone,Maha,No,Yes,Bw 372
Vavuniya,Dry Zone,Maha,No,No,Bg 94-1
Kurunegala,Intermediate Zone,Yala,Yes,No,Bg 369
Vavuniya,Dry Zone,Yala,No,No,Bg 300
Batticaloa,Dry Zone,Annual,Yes,No,Bg 369
Vavuniya,Dry Zone,Maha,No,No,Bg 360
Vavuniya,Dry Zone,Yala,No,Yes,Bw 367
Killinochchi,Dry Zone,Yala,No,Yes,Bw 312
Monaragala,Intermediate Zone,Maha,No,No,Bg 359
Killinochchi,Dry Zone,Maha,Yes,Yes,Bw 400
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 372
Polonnaruwa,Dry Zone,Annual,Yes,No,Bg 369
Mannar,Dry Zone,Maha,No,No,Bg 360
Killinochchi,Dry Zone,Yala,No,No,Bg 360
Trincomalee,Dry Zone,Yala,No,No,At 362
Mullaitivu,Dry Zone,Annual,No,No,Ld 368
Polonnaruwa,Dry Zone,Yala,No,No,At 362
Ratnapura,Wet Zone,Yala,No,No,Bg 374
Anuradhapura,Dry Zone,Maha,Yes,No,At 353
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 312
Ampara,Dry Zone,Annual,No,No,Bg 250
Kegalle,Wet Zone,Yala,No,No,Bg 366
Kegalle,Wet Zone,Yala,Yes,Yes,Bw 400
Matale,Intermediate Zone,Yala,No,No,Bg 94-1
Matale,Intermediate Zone,Annual,No,Yes,Bw 372
Badulla,Intermediate Zone,Maha,Yes,No,At 353
Vavuniya,Dry Zone,Yala,No,No,Bg 360
Hambantota,Dry Zone,Yala,No,No,Ld 368
Kegalle,Wet Zone,Yala,No,No,Bg 374
Batticaloa,Dry Zone,Maha,No,No,Bg 379-2
Mannar,Dry Zone,Maha,No,No,Bg 379-2
Ampara,Dry Zone,Yala,Yes,No,At 354
Badulla,Intermediate Zone,Yala,No,No,Bg 352
Ampara,Dry Zone,Yala,Yes,No,Bg 310
Ratnapura,Wet Zone,Maha,No,No,Bg 250
Kegalle,Wet Zone,Yala,Yes,No,Bg 310
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 372
Killinochchi,Dry Zone,Yala,No,Yes,Bw 364
Matara,Wet Zone,Annual,No,No,Bg 357
Mullaitivu,Dry Zone,Yala,Yes,No,At 354
Puttalam,Dry Zone,Maha,No,No,Bg 250
Mannar,Dry Zone,Maha,Yes,Yes,Bw 400
Matale,Intermediate Zone,Yala,No,Yes,Bw 312
Ratnapura,Wet Zone,Maha,No,No,Attakkari
Anuradhapura,Dry Zone,Yala,No,No,Bg 359
Gampaha,Wet Zone,Yala,No,Yes,Bw 312
Polonnaruwa,Dry Zone,Annual,No,Yes,Bw 312
Batticaloa,Dry Zone,Annual,No,Yes,Bw 364
Matara,Wet Zone,Maha,No,Yes,Bw 367
Matara,Wet Zone,Maha,No,No,At 362
Batticaloa,Dry Zone,Yala,No,No,Bg 374
Anuradhapura,Dry Zone,Maha,Yes,No,At 354
Ratnapura,Wet Zone,Maha,No,No,Bg 300
Batticaloa,Dry Zone,Maha,No,No,At 362
Puttalam,Dry Zone,Maha,No,Yes,Bw 312
Galle,Wet Zone,Maha,Yes,No,Bg 310
Kegalle,Wet Zone,Yala,Yes,Yes,Bw 400
Hambantota,Dry Zone,Maha,No,No,Bg 359
Batticaloa,Dry Zone,Yala,No,No,At 303
Ratnapura,Wet Zone,Maha,No,Yes,Bw 312
Mannar,Dry Zone,Yala,No,Yes,Bw 367
Matale,Intermediate Zone,Yala,No,No,Attakkari
Kandy,Intermediate Zone,Maha,Yes,Yes,Bw 400
Trincomalee,Dry Zone,Yala,Yes,No,Bg 310
Kurunegala,Intermediate Zone,Yala,No,No,Ld 368
Batticaloa,Dry Zone,Maha,No,Yes,Bw 364
Kegalle,Wet Zone,Maha,Yes,No,At 353
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 367
Puttalam,Dry Zone,Yala,Yes,No,At 353
Puttalam,Dry Zone,Maha,No,No,Ld 368
Ratnapura,Wet Zone,Maha,No,No,Bg 300
Kegalle,Wet Zone,Yala,Yes,No,At 354
Matale,Intermediate Zone,Yala,No,Yes,Bw 364
Mannar,Dry Zone,Maha,Yes,No,Bg 310
Matara,Wet Zone,Yala,No,No,Bg 366
Kegalle,Wet Zone,Annual,No,No,Bg 250
Badulla,Intermediate Zone,Maha,No,No,Bg 250
Matale,Intermediate Zone,Maha,No,No,At 362
Ampara,Dry Zone,Maha,No,Yes,Bw 364
Polonnaruwa,Dry Zone,Maha,No,No,Bg 250
Kurunegala,Intermediate Zone,Maha,Yes,Yes,Bw 400
Vavuniya,Dry Zone,Maha,No,Yes,Bw 367
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 372
Hambantota,Dry Zone,Maha,No,No,Bg 250
Polonnaruwa,Dry Zone,Maha,Yes,No,At 354
Kegalle,Wet Zone,Maha,No,No,Ld 368
Badulla,Intermediate Zone,Maha,No,No,Bg 366
Badulla,Intermediate Zone,Maha,No,No,At 307
Monaragala,Intermediate Zone,Yala,No,Yes,Bw 312
Monaragala,Intermediate Zone,Yala,Yes,No,At 354
Killinochchi,Dry Zone,Maha,No,No,Bg 250
Mullaitivu,Dry Zone,Maha,No,No,Bg 300
Matale,Intermediate Zone,Yala,No,Yes,Bw 367
Monaragala,Intermediate Zone,Yala,No,No,Attakkari
Gampaha,Wet Zone,Yala,No,No,Bg 374
Vavuniya,Dry Zone,Maha,No,No,Bg 94-1
Puttalam,Dry Zone,Maha,No,No,Ld 368
Trincomalee,Dry Zone,Yala,No,No,Ld 368
Kandy,Intermediate Zone,Maha,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Maha,No,No,Bg 94-1
Vavuniya,Dry Zone,Maha,No,No,Ld 368
Killinochchi,Dry Zone,Maha,No,No,Bg 357
Kalutara,Wet Zone,Maha,No,No,Bg 357
Monaragala,Intermediate Zone,Yala,No,No,At 362
Ampara,Dry Zone,Maha,No,No,Bg 360
Vavuniya,Dry Zone,Yala,No,No,Bg 300
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 372
Batticaloa,Dry Zone,Yala,No,Yes,Bw 367
Ratnapura,Wet Zone,Maha,No,No,Bg 359
Matale,Intermediate Zone,Maha,No,No,Bg 366
Batticaloa,Dry Zone,Maha,Yes,Yes,Bw 400
Anuradhapura,Dry Zone,Maha,No,No,At 362
Ratnapura,Wet Zone,Maha,No,Yes,Bw 367
Mullaitivu,Dry Zone,Maha,No,No,Ld 368
Monaragala,Intermediate Zone,Maha,No,No,Bg 366
Gampaha,Wet Zone,Maha,No,No,Bg 352
Kandy,Intermediate Zone,Annual,No,No,Bg 360
Matale,Intermediate Zone,Maha,No,Yes,Bw 367
Polonnaruwa,Dry Zone,Annual,No,No,At 307
Ratnapura,Wet Zone,Maha,No,Yes,Bw 364
Polonnaruwa,Dry Zone,Yala,No,No,At 303
Mullaitivu,Dry Zone,Yala,No,Yes,Bw 372
Gampaha,Wet Zone,Maha,No,Yes,Bw 367
Matale,Intermediate Zone,Yala,No,Yes,Bw 364
Mannar,Dry Zone,Maha,No,No,Bg 374
Kandy,Intermediate Zone,Maha,No,No,Ld 368
Ampara,Dry Zone,Maha,No,No,Attakkari
Mannar,Dry Zone,Maha,No,No,At 303
Matale,Intermediate Zone,Maha,No,No,Bg 379-2
Gampaha,Wet Zone,Maha,No,Yes,Bw 312
Gampaha,Wet Zone,Maha,No,No,At 303
Badulla,Intermediate Zone,Maha,Yes,No,At 354
Kurunegala,Intermediate Zone,Yala,Yes,No,Bg 310
Kegalle,Wet Zone,Maha,No,Yes,Bw 312
Mullaitivu,Dry Zone,Maha,No,No,Bg 379-2
Gampaha,Wet Zone,Maha,No,No,Bg 250
Batticaloa,Dry Zone,Maha,No,Yes,Bw 367
Galle,Wet Zone,Maha,No,No,Bg 300
Kegalle,Wet Zone,Yala,No,No,Bg 374
Monaragala,Intermediate Zone,Yala,No,No,At 362
Kandy,Intermediate Zone,Maha,No,No,Attakkari
Galle,Wet Zone,Maha,No,No,Bg 250
Badulla,Intermediate Zone,Yala,No,Yes,Bw 367
Puttalam,Dry Zone,Maha,No,No,Attakkari
Matara,Wet Zone,Yala,No,No,Bg 379-2
Vavuniya,Dry Zone,Annual,No,Yes,Bw 372
Gampaha,Wet Zone,Maha,No,No,Bg 300
Kandy,Intermediate Zone,Annual,No,Yes,Bw 312
Puttalam,Dry Zone,Annual,Yes,No,At 353
Monaragala,Intermediate Zone,Yala,No,No,At 362
Matara,Wet Zone,Yala,No,No,At 362
Kurunegala,Intermediate Zone,Maha,No,Yes,Bw 372
Trincomalee,Dry Zone,Yala,Yes,No,At 354
Kegalle,Wet Zone,Yala,No,No,Bg 300
Trincomalee,Dry Zone,Maha,Yes,No,Bg 369
Hambantota,Dry Zone,Maha,No,No,Bg 360
Matale,Intermediate Zone,Yala,No,No,Attakkari
Kegalle,Wet Zone,Maha,No,No,At 307
Monaragala,Intermediate Zone,Yala,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Maha,No,No,At 307
Ratnapura,Wet Zone,Maha,No,Yes,Bw 312
Kalutara,Wet Zone,Maha,Yes,No,Bg 369
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 312
Monaragala,Intermediate Zone,Annual,No,No,At 307
Mannar,Dry Zone,Maha,No,No,At 307
Kegalle,Wet Zone,Maha,Yes,No,Bg 310
Batticaloa,Dry Zone,Yala,Yes,No,Bg 369
Hambantota,Dry Zone,Maha,No,No,At 307
Batticaloa,Dry Zone,Maha,No,No,At 362
Matara,Wet Zone,Yala,No,Yes,Bw 367
Vavuniya,Dry Zone,Annual,Yes,No,At 353
Ratnapura,Wet Zone,Maha,No,No,Bg 379-2
Galle,Wet Zone,Yala,No,No,Bg 357
Vavuniya,Dry Zone,Maha,Yes,No,At 354
Vavuniya,Dry Zone,Yala,Yes,Yes,Bw 400
Matara,Wet Zone,Yala,No,No,At 362
Kurunegala,Intermediate Zone,Maha,Yes,No,At 353
Ampara,Dry Zone,Maha,Yes,No,At 354
Galle,Wet Zone,Maha,No,Yes,Bw 312
Gampaha,Wet Zone,Yala,No,No,At 303
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 364
Kalutara,Wet Zone,Maha,No,No,At 303
Kandy,Intermediate Zone,Annual,No,No,Bg 94-1
Gampaha,Wet Zone,Yala,No,No,Bg 300
Galle,Wet Zone,Maha,No,No,Bg 359
Kalutara,Wet Zone,Maha,No,No,Bg 352
Gampaha,Wet Zone,Maha,No,No,Bg 366
Ratnapura,Wet Zone,Annual,No,No,At 303
Batticaloa,Dry Zone,Maha,Yes,No,At 353
Badulla,Intermediate Zone,Maha,No,Yes,Bw 372
Ratnapura,Wet Zone,Maha,No,Yes,Bw 364
Vavuniya,Dry Zone,Yala,Yes,No,Bg 369
Batticaloa,Dry Zone,Maha,No,No,Attakkari
Vavuniya,Dry Zone,Annual,No,No,Bg 374
Vavuniya,Dry Zone,Maha,No,No,Bg 94-1
Hambantota,Dry Zone,Maha,No,No,Bg 359
Polonnaruwa,Dry Zone,Annual,No,No,At 362
Polonnaruwa,Dry Zone,Yala,No,Yes,Bw 312
Puttalam,Dry Zone,Yala,No,No,Ld 368
Galle,Wet Zone,Yala,No,No,Bg 300
Matale,Intermediate Zone,Maha,No,No,Bg 94-1
Mannar,Dry Zone,Yala,No,Yes,Bw 367
Vavuniya,Dry Zone,Yala,No,No,Bg 250
Puttalam,Dry Zone,Maha,No,No,Bg 300
Killinochchi,Dry Zone,Yala,No,No,Attakkari
Ampara,Dry Zone,Maha,No,Yes,Bw 367
Kandy,Intermediate Zone,Maha,Yes,No,At 354
Batticaloa,Dry Zone,Yala,No,No,Bg 250
Matara,Wet Zone,Yala,No,No,At 303
Gampaha,Wet Zone,Maha,No,No,Ld 368
Mullaitivu,Dry Zone,Maha,No,No,At 303
Hambantota,Dry Zone,Maha,No,No,At 362
Monaragala,Intermediate Zone,Maha,No,No,Attakkari
Galle,Wet Zone,Yala,No,No,At 303
Batticaloa,Dry Zone,Maha,Yes,No,At 353
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 364
Kurunegala,Intermediate Zone,Maha,No,No,At 307
Kegalle,Wet Zone,Annual,No,No,Bg 94-1
Puttalam,Dry Zone,Yala,No,No,Bg 300
Anuradhapura,Dry Zone,Yala,No,No,Attakkari
Anuradhapura,Dry Zone,Maha,No,No,Bg 357
Kegalle,Wet Zone,Yala,Yes,No,Bg 369
Puttalam,Dry Zone,Maha,No,Yes,Bw 372
Batticaloa,Dry Zone,Annual,No,Yes,Bw 372
Matara,Wet Zone,Maha,No,No,Bg 250
Galle,Wet Zone,Yala,No,Yes,Bw 372
Batticaloa,Dry Zone,Yala,Yes,No,At 353
Ampara,Dry Zone,Yala,No,No,Bg 250
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 312
Galle,Wet Zone,Yala,No,No,Bg 366
Gampaha,Wet Zone,Maha,No,No,Bg 250
Kandy,Intermediate Zone,Maha,Yes,No,Bg 310
Monaragala,Intermediate Zone,Maha,Yes,Yes,Bw 400
Mullaitivu,Dry Zone,Yala,No,No,Bg 352
Matara,Wet Zone,Yala,Yes,No,At 353
Polonnaruwa,Dry Zone,Yala,No,No,Ld 368
Galle,Wet Zone,Yala,No,No,Bg 300
Puttalam,Dry Zone,Annual,No,No,Bg 374
Monaragala,Intermediate Zone,Annual,No,No,Bg 366
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 367
Trincomalee,Dry Zone,Yala,No,No,At 303
Galle,Wet Zone,Yala,No,No,Attakkari
Matara,Wet Zone,Maha,No,No,Bg 360
Matale,Intermediate Zone,Maha,No,Yes,Bw 312
Trincomalee,Dry Zone,Yala,No,No,Bg 357
Hambantota,Dry Zone,Maha,No,No,Bg 357
