season,district,zone,temperature,humidity,rainfall,light,n,p,k,variety,yield
0,Anuradhapura,0,31.1,67.3,61.2,7.9,44.0,58.5,58.4,Bg300,6.05
1,Nuwara Eliya,1,16.3,93.3,275.4,4.6,55.9,36.1,65.0,Ld368,5.88
1,Kegalle,1,24.5,88.3,306.1,5.3,83.2,49.5,43.0,Ld368,6.44
0,Anuradhapura,0,32.3,64.0,57.3,8.6,41.3,26.8,34.1,Bg300,4.84
0,Kurunegala,0,30.8,72.1,100.1,7.8,66.9,30.3,44.7,Bg300,5.5
1,Matara,1,26.7,85.0,227.7,6.0,34.9,53.4,53.6,Bw367,6.09
1,Matale,1,26.1,83.9,198.5,6.1,82.6,35.0,62.3,Bw367,6.67
0,Kalutara,1,29.1,82.5,281.3,5.4,33.3,35.4,40.2,Ld368,5.6
1,Anuradhapura,0,29.4,76.5,178.6,5.4,32.6,51.0,47.8,Bg352,7.14
0,Kegalle,1,27.7,82.7,262.6,5.9,20.6,20.2,37.4,Ld368,4.93
0,Monaragala,0,31.4,64.3,56.0,8.1,23.5,54.5,63.5,Bg300,5.5
0,Colombo,1,30.4,72.2,204.2,7.1,34.9,23.3,51.2,Bw367,5.8
0,Nuwara Eliya,1,19.3,81.6,224.5,4.7,33.3,26.1,60.9,Bw367,5.22
0,Badulla,1,26.7,80.2,122.4,7.4,30.9,48.7,33.2,Bw367,5.8
0,Kalutara,1,29.8,83.3,294.2,6.9,25.6,27.4,49.5,Ld368,4.93
0,Ampara,0,32.4,61.8,48.3,8.1,68.0,48.2,28.4,Bg300,5.5
1,Anuradhapura,0,28.5,82.6,165.1,5.6,81.0,57.3,53.8,Bg366,8.05
0,Matara,1,28.6,79.1,211.9,6.5,64.6,20.4,43.7,Bw367,5.8
1,Anuradhapura,0,27.5,77.3,169.2,5.2,77.8,42.2,49.3,Bg366,8.05
1,Kegalle,1,26.5,88.9,308.6,4.5,49.8,53.7,61.9,Ld368,5.88
1,Galle,1,28.1,80.5,239.5,5.5,56.6,25.5,39.3,Bw367,6.09
0,Kalutara,1,29.0,85.9,294.8,5.6,46.8,42.9,46.2,Ld368,5.6
0,Kandy,1,28.7,73.2,151.7,7.0,49.8,28.0,30.5,Bw367,5.8
0,Hambantota,0,31.4,73.8,42.6,8.5,64.2,46.4,40.9,At362,6.82
1,Ampara,0,28.3,80.7,206.6,4.9,80.3,23.6,50.9,Bg366,7.35
1,Ratnapura,1,27.3,89.6,315.7,4.5,44.1,41.6,41.8,Ld368,5.32
0,Matale,1,29.6,77.9,113.8,6.3,46.8,27.6,33.1,Bw367,5.8
0,Kegalle,1,28.5,79.9,263.1,6.9,23.8,42.1,31.9,Ld368,4.93
0,Monaragala,0,30.7,65.7,73.1,8.6,32.2,38.5,43.8,Bg300,5.5
0,Polonnaruwa,0,33.9,63.4,39.3,8.2,60.5,44.1,51.2,At362,6.32
0,Kalutara,1,30.3,78.7,286.0,6.0,20.1,34.9,55.1,Ld368,5.6
1,Nuwara Eliya,1,15.4,89.1,285.6,3.6,65.2,50.1,41.7,Ld368,5.88
1,Anuradhapura,0,26.8,75.3,193.5,6.7,35.4,20.6,31.4,Bg352,6.32
1,Anuradhapura,0,27.0,78.0,190.5,5.2,63.2,31.1,59.5,Bg366,8.05
1,Trincomalee,0,27.6,85.7,211.6,4.7,52.5,31.6,57.4,Bg352,6.46
0,Kurunegala,0,30.9,73.1,113.1,8.0,43.4,31.0,35.6,Bg300,5.5
1,Badulla,1,21.9,88.3,192.7,5.4,65.8,45.7,63.4,Bw367,6.67
1,Matara,1,26.0,83.4,239.4,6.4,51.7,53.1,44.4,Bw367,6.09
0,Ampara,0,31.8,64.0,51.6,8.7,58.9,27.1,35.1,Bg300,5.5
0,Colombo,1,31.8,73.4,199.9,6.7,23.3,28.0,30.7,Bw367,5.1
1,Badulla,1,22.2,88.0,205.0,6.3,78.5,30.8,52.5,Bw367,6.67
1,Hambantota,0,27.3,72.2,110.6,6.7,66.2,30.6,25.5,Bg352,7.14
1,Nuwara Eliya,1,15.8,94.6,282.7,4.0,61.5,52.1,58.1,Ld368,5.88
0,Ampara,0,33.6,66.5,62.2,9.2,57.1,28.6,50.5,Bg300,5.06
1,Matara,1,27.9,87.3,247.3,6.4,33.5,16.3,35.3,Bw367,5.39
0,Kegalle,1,29.8,83.8,276.0,6.7,71.8,48.3,49.9,Ld368,6.16
1,Badulla,1,21.6,85.6,187.7,4.9,74.4,35.4,64.1,Bw367,6.09
0,Matale,1,28.9,74.5,108.6,6.9,35.8,21.4,36.3,Bw367,5.1
1,Ratnapura,1,26.5,84.3,323.5,5.2,56.4,52.3,53.3,Ld368,6.44
0,Matara,1,28.9,81.8,230.0,6.8,31.7,30.4,54.6,Bw367,5.8
0,Kegalle,1,27.4,83.7,270.7,6.9,29.0,47.2,56.7,Ld368,5.6
0,Kalutara,1,28.7,79.7,282.6,5.8,50.6,31.5,62.9,Ld368,5.6
1,Kegalle,1,24.8,84.8,308.1,4.9,74.7,27.8,31.5,Ld368,5.32
1,Ratnapura,1,24.3,85.2,310.5,4.2,48.8,53.6,45.4,Ld368,5.32
1,Kegalle,1,24.9,87.1,288.8,5.1,72.0,25.3,44.2,Ld368,5.88
1,Colombo,1,28.8,81.1,248.0,5.3,36.8,23.1,41.1,Bw367,5.39
1,Colombo,1,28.2,79.9,227.6,6.4,47.3,33.4,34.5,Bw367,6.09
1,Ampara,0,28.8,84.0,199.1,5.4,51.2,41.4,58.7,Bg352,7.82
1,Matara,1,27.9,84.1,253.3,5.1,57.7,38.4,61.8,Ld368,6.44
0,Badulla,1,26.2,79.5,102.3,7.6,21.0,44.3,62.3,Bw367,5.8
0,Nuwara Eliya,1,19.1,84.0,199.3,5.7,44.2,54.8,41.8,Bw367,5.8
0,Colombo,1,30.4,74.4,210.1,7.7,65.3,43.9,58.3,Bw367,6.38
0,Kandy,1,27.4,79.9,154.1,6.8,32.3,18.9,61.7,Bw367,5.8
0,Galle,1,30.4,84.1,220.1,7.3,71.3,52.5,61.6,Bw367,6.38
1,Ratnapura,1,25.4,84.1,306.8,4.7,52.0,22.4,40.8,Ld368,5.32
0,Matara,1,30.1,79.0,206.6,7.7,49.0,28.0,31.3,Bw367,5.8
1,Hambantota,0,28.1,75.3,131.2,7.1,36.1,25.9,42.1,Bg352,6.32
1,Kandy,1,25.6,82.2,207.5,5.2,58.3,48.2,42.8,Bw367,6.09
1,Matara,1,28.3,87.4,244.6,5.8,69.7,15.2,48.7,Bw367,6.09
1,Galle,1,26.8,87.3,238.2,5.1,38.1,46.9,27.5,Bw367,6.09
1,Kandy,1,24.1,87.6,233.9,4.6,47.3,47.4,35.6,Bw367,5.51
0,Monaragala,0,33.5,68.6,58.3,7.8,29.4,50.5,55.9,Bg300,5.06
1,Hambantota,0,28.9,78.5,123.3,7.4,44.6,40.8,43.0,Bg352,7.14
0,Badulla,1,26.1,72.9,107.8,7.1,57.3,39.3,40.8,Bw367,5.8
0,Anuradhapura,0,33.1,66.5,55.6,8.3,34.4,50.4,55.9,Bg300,5.06
0,Nuwara Eliya,1,19.3,82.7,216.1,5.5,57.9,35.5,43.3,Bw367,5.8
0,Hambantota,0,31.9,66.0,53.6,8.7,40.6,42.5,26.9,Bg300,5.5
1,Ratnapura,1,26.5,88.4,323.9,4.5,46.6,38.1,44.9,Ld368,5.32
1,Anuradhapura,0,29.3,77.6,184.8,6.7,35.0,50.8,49.7,Bg352,7.14
0,Colombo,1,31.0,74.7,211.1,7.2,36.8,35.7,40.3,Bw367,5.8
1,Hambantota,0,27.3,80.0,117.8,6.6,69.1,34.6,58.3,Bg352,7.82
0,Nuwara Eliya,1,18.7,84.8,216.1,5.2,74.2,20.5,42.2,Bw367,5.8
1,Polonnaruwa,0,27.4,75.3,191.9,5.9,82.4,40.7,57.8,Bg366,8.05
1,Galle,1,28.0,90.0,243.8,5.4,81.8,43.4,36.8,Bw367,6.67
0,Kurunegala,0,32.3,75.1,117.3,7.9,29.8,53.0,36.0,Bg300,5.5
0,Matara,1,29.4,82.6,213.0,7.0,25.9,41.4,58.4,Bw367,5.8
1,Polonnaruwa,0,27.6,75.5,208.0,6.1,71.0,51.8,54.9,Bg366,8.05
1,Ratnapura,1,26.5,90.3,330.6,5.3,32.3,30.2,26.4,Ld368,5.21
1,Nuwara Eliya,1,16.6,86.2,278.5,4.7,74.8,35.8,55.9,Ld368,5.88
1,Ampara,0,26.4,78.2,200.7,5.3,81.2,52.0,42.3,Bg366,8.05
1,Kalutara,1,27.8,88.3,311.2,4.9,47.9,34.0,49.1,Ld368,5.32
0,Kandy,1,28.6,81.9,149.0,6.8,69.2,30.7,63.5,Bw367,6.38
1,Nuwara Eliya,1,15.8,92.1,293.5,3.6,71.0,35.8,35.7,Ld368,5.32
1,Colombo,1,28.0,83.6,234.7,6.0,64.0,31.2,32.9,Bw367,6.09
1,Monaragala,0,27.8,82.3,167.3,5.8,52.4,36.4,46.8,Bg352,7.14
1,Badulla,1,22.5,80.3,189.9,5.0,36.9,52.3,49.2,Bw367,6.09
1,Badulla,1,22.2,88.1,194.1,5.9,50.3,53.4,57.8,Bw367,6.67
0,Badulla,1,25.0,73.7,103.6,6.6,67.0,16.3,28.0,Bw367,5.8
1,Monaragala,0,26.9,77.3,178.9,6.1,30.3,37.2,41.3,Bg352,7.14
1,Badulla,1,23.1,86.2,196.9,4.7,82.5,47.6,61.2,Bw367,6.09
0,Hambantota,0,32.8,73.1,50.1,7.5,60.6,58.4,52.1,Bg300,6.05
1,Anuradhapura,0,29.3,77.4,183.0,6.0,81.3,23.0,45.0,Bg366,7.35
1,Kurunegala,0,26.2,82.5,168.9,5.4,64.7,43.9,37.7,Bg366,7.35
0,Kurunegala,0,30.2,74.9,114.0,7.6,41.6,31.7,57.9,Bg300,5.5
0,Galle,1,29.5,80.2,228.5,6.4,26.6,18.9,55.3,Bw367,5.1
0,Kegalle,1,29.5,80.7,255.6,5.7,47.3,42.6,38.4,Ld368,5.6
1,Kalutara,1,27.1,90.0,309.8,5.7,56.9,33.0,33.0,Ld368,5.88
1,Kandy,1,24.9,82.5,214.1,5.6,48.0,24.7,31.8,Bw367,5.39
1,Kandy,1,23.8,87.7,218.0,4.9,39.8,45.6,56.5,Bw367,5.51
0,Kegalle,1,30.2,80.2,261.6,6.6,61.7,24.0,28.1,Ld368,5.6
1,Matale,1,24.9,83.4,185.7,4.8,53.0,52.7,53.9,Bw367,6.09
1,Kegalle,1,27.0,88.4,303.3,5.0,64.5,46.8,63.8,Ld368,6.44
0,Anuradhapura,0,32.3,66.7,53.9,7.7,49.8,23.5,26.1,Bg300,4.84
0,Anuradhapura,0,31.8,63.4,36.9,8.0,62.1,39.7,60.2,At362,6.82
0,Trincomalee,0,33.3,60.5,61.4,9.0,69.7,44.1,44.7,Bg300,5.61
1,Badulla,1,22.9,86.3,181.3,6.1,63.9,32.1,32.3,Bw367,6.09
1,Badulla,1,23.3,81.1,185.1,6.0,68.3,45.6,42.6,Bw367,6.67
0,Monaragala,0,32.7,64.7,67.7,8.3,38.9,47.8,60.4,Bg300,5.5
1,Matale,1,25.1,80.5,203.1,6.1,47.9,30.8,41.3,Bw367,6.09
1,Galle,1,26.2,88.2,243.9,5.9,58.2,38.4,32.2,Bw367,6.09
1,Badulla,1,22.6,87.3,187.6,5.0,45.7,35.2,46.3,Bw367,6.09
0,Colombo,1,31.4,77.8,208.4,6.7,22.8,49.9,28.0,Bw367,5.1
0,Matara,1,30.3,83.2,206.7,6.2,29.8,54.5,53.6,Bw367,5.8
1,Trincomalee,0,25.6,87.8,229.4,5.7,48.7,22.8,48.2,Bg352,7.14
0,Trincomalee,0,34.8,62.4,43.9,8.9,41.8,27.2,58.7,At362,5.7
0,Badulla,1,25.0,75.1,102.0,7.1,30.9,35.3,31.3,Bw367,5.1
0,Badulla,1,24.8,75.7,97.1,7.2,34.5,36.1,45.7,Bw367,5.8
1,Monaragala,0,27.9,80.8,167.0,6.7,72.7,31.4,58.8,Bg366,8.05
0,Polonnaruwa,0,34.0,59.9,51.0,8.5,36.4,31.9,54.0,Bg300,5.06
1,Kegalle,1,24.5,89.2,290.1,4.5,43.1,30.2,44.0,Ld368,5.32
1,Ratnapura,1,27.2,91.2,314.7,4.5,54.7,40.0,30.9,Ld368,5.32
0,Nuwara Eliya,1,20.0,82.0,224.7,4.3,56.4,32.9,42.9,Bw367,5.22
0,Hambantota,0,32.9,74.3,52.3,8.2,39.8,38.6,52.6,Bg300,5.5
0,Anuradhapura,0,31.9,65.9,54.4,8.3,24.3,34.9,52.6,Bg300,5.5
1,Kurunegala,0,26.0,77.1,167.6,5.6,34.5,20.1,42.3,Bg352,6.32
1,Kandy,1,24.5,80.4,215.5,4.7,65.6,33.6,44.8,Bw367,5.51
0,Polonnaruwa,0,34.4,60.1,45.5,9.2,50.6,57.2,40.1,Bg300,5.06
0,Ampara,0,32.0,65.1,43.6,8.1,49.9,41.3,28.0,At362,6.2
0,Badulla,1,25.2,73.4,114.3,6.6,32.0,25.2,44.6,Bw367,5.1
0,Ratnapura,1,29.5,81.8,275.9,5.9,73.8,21.9,39.3,Ld368,5.6
0,Polonnaruwa,0,34.4,59.6,36.8,8.4,21.2,44.2,51.8,At362,5.7
0,Matale,1,27.7,70.7,111.3,6.7,63.3,21.4,26.8,Bw367,5.8
0,Monaragala,0,31.7,67.5,74.8,7.4,58.7,33.5,37.4,Bg300,5.5
0,Polonnaruwa,0,34.0,59.1,45.1,9.1,52.3,53.3,27.9,Bg300,5.06
0,Matara,1,30.3,81.1,205.3,6.9,66.4,34.6,37.5,Bw367,5.8
0,Anuradhapura,0,31.5,62.1,55.6,8.3,59.2,26.3,35.1,Bg300,5.5
1,Kurunegala,0,28.4,81.1,155.1,5.4,38.4,36.8,27.7,Bg352,6.32
1,Hambantota,0,29.3,76.6,118.4,6.4,70.0,48.3,31.1,Bg352,7.14
1,Nuwara Eliya,1,14.6,94.1,280.6,4.5,42.5,34.6,39.3,Ld368,5.32
1,Ratnapura,1,24.4,86.4,309.6,5.4,55.7,31.2,43.0,Ld368,5.88
1,Anuradhapura,0,29.1,79.9,193.2,6.4,40.5,37.7,27.9,Bg352,7.14
0,Kegalle,1,29.5,80.9,264.9,6.5,68.0,16.9,40.4,Ld368,5.6
1,Monaragala,0,26.6,81.6,163.6,5.5,81.5,20.7,42.5,Bg366,7.35
1,Kurunegala,0,26.1,83.7,147.8,6.2,38.9,36.7,58.3,Bg352,7.14
0,Trincomalee,0,33.1,59.9,44.9,8.5,32.4,40.8,47.5,At362,5.7
0,Nuwara Eliya,1,18.1,85.4,219.5,5.1,34.0,25.5,26.6,Bw367,5.1
1,Badulla,1,21.2,83.1,192.4,5.3,61.8,35.6,52.4,Bw367,6.09
1,Hambantota,0,27.4,75.1,122.6,6.8,47.9,48.9,28.0,Bg352,7.14
1,Colombo,1,26.4,86.6,238.9,5.9,44.1,15.4,36.0,Bw367,5.39
1,Kurunegala,0,27.5,80.2,168.0,5.7,79.5,40.9,29.6,Bg366,7.35
1,Anuradhapura,0,27.1,75.0,180.2,6.3,80.1,40.1,63.6,Bg366,8.05
0,Matara,1,30.9,79.0,209.2,6.5,55.6,31.9,30.9,Bw367,5.8
1,Monaragala,0,26.9,77.7,160.1,6.3,72.4,38.5,53.6,Bg366,8.05
1,Monaragala,0,26.7,84.7,179.6,5.5,40.2,25.0,30.5,Bg352,6.32
0,Kurunegala,0,30.9,74.8,117.4,7.7,57.8,20.7,37.5,Bg300,5.5
1,Kandy,1,23.1,88.5,225.5,4.8,67.8,46.7,37.3,Bw367,6.09
0,Kalutara,1,30.3,81.5,278.2,6.2,62.3,23.9,35.8,Ld368,5.6
1,Nuwara Eliya,1,17.0,87.0,282.3,4.7,38.1,53.8,62.9,Ld368,5.88
0,Polonnaruwa,0,32.1,64.3,52.8,9.6,29.9,50.6,38.6,Bg300,5.5
0,Trincomalee,0,34.0,59.6,41.0,8.8,25.9,56.2,26.7,At362,5.7
0,Kalutara,1,29.1,85.7,277.7,5.7,47.6,15.8,35.1,Ld368,4.93
1,Kalutara,1,25.0,85.6,310.4,5.1,80.9,40.8,41.6,Ld368,6.44
0,Hambantota,0,32.4,67.0,28.9,8.5,50.8,51.6,54.6,At362,6.82
0,Nuwara Eliya,1,20.5,84.3,198.4,5.5,33.9,46.1,63.3,Bw367,5.8
1,Trincomalee,0,25.6,84.0,213.2,5.6,69.7,54.5,44.0,Bg366,8.05
0,Ratnapura,1,29.9,87.8,282.2,5.8,40.0,15.5,35.0,Ld368,4.93
0,Anuradhapura,0,34.0,61.2,35.4,9.1,33.5,49.2,57.4,At362,5.7
1,Ratnapura,1,25.5,92.2,325.4,5.3,74.8,18.4,49.9,Ld368,5.88
0,Trincomalee,0,35.4,57.6,57.2,9.5,46.5,23.1,47.4,Bg300,5.06
0,Kalutara,1,28.0,86.5,290.6,6.9,64.3,42.7,25.2,Ld368,5.6
0,Colombo,1,29.6,81.1,190.2,6.9,48.4,25.5,33.4,Bw367,5.8
1,Polonnaruwa,0,26.3,75.6,191.2,6.2,60.5,36.9,47.6,Bg366,7.35
1,Monaragala,0,26.5,81.7,181.7,6.5,40.1,31.8,53.7,Bg352,7.14
1,Colombo,1,28.7,84.2,246.9,5.4,69.5,42.2,58.2,Bw367,6.67
0,Kalutara,1,27.6,81.7,279.5,6.3,70.5,30.7,58.8,Ld368,6.16
1,Kegalle,1,24.6,85.3,312.2,4.5,63.4,33.1,62.5,Ld368,5.88
0,Matara,1,29.4,83.1,214.1,7.1,21.1,35.9,50.5,Bw367,5.8
1,Kurunegala,0,26.8,87.0,170.1,6.8,75.3,24.1,34.1,Bg366,7.35
1,Ratnapura,1,25.7,90.8,331.2,5.2,81.6,17.2,25.5,Ld368,5.88
1,Kalutara,1,25.3,87.3,299.0,5.7,55.9,37.8,62.1,Ld368,6.44
1,Ratnapura,1,25.1,85.7,315.5,5.2,71.6,41.7,34.4,Ld368,5.88
1,Kalutara,1,26.7,87.8,311.5,5.0,61.1,43.6,29.4,Ld368,5.88
0,Colombo,1,30.0,77.7,209.9,7.9,61.3,48.7,43.8,Bw367,6.38
0,Polonnaruwa,0,32.7,64.2,33.7,8.9,56.6,37.6,63.1,At362,6.82
0,Kegalle,1,28.3,79.9,256.0,6.8,44.8,28.0,43.8,Ld368,5.6
1,Ampara,0,28.4,78.5,216.2,5.4,43.8,47.5,54.7,Bg352,7.14
1,Monaragala,0,28.1,79.8,181.0,5.3,65.4,50.5,55.4,Bg366,8.05
1,Galle,1,27.7,89.3,245.0,5.6,30.8,15.3,34.6,Bw367,5.39
1,Colombo,1,28.1,84.5,253.1,6.1,30.7,16.4,53.1,Ld368,5.21
0,Kalutara,1,29.2,80.0,283.1,6.2,73.7,39.7,62.4,Ld368,6.16
0,Galle,1,28.9,80.6,218.0,7.5,27.7,24.0,47.3,Bw367,5.1
0,Kandy,1,27.9,75.3,135.0,6.9,74.2,47.4,43.4,Bw367,6.38
0,Monaragala,0,31.7,68.2,64.3,7.9,62.6,41.1,37.7,Bg300,5.5
0,Kandy,1,26.4,79.5,155.4,6.9,47.7,50.8,62.5,Bw367,6.38
1,Monaragala,0,28.2,78.0,184.5,5.6,41.1,37.7,27.3,Bg352,7.14
1,Anuradhapura,0,28.3,78.6,184.7,6.0,31.8,44.5,53.6,Bg352,7.14
1,Badulla,1,21.7,80.6,186.2,6.1,75.5,30.3,48.6,Bw367,6.67
0,Badulla,1,25.2,72.7,124.2,7.2,74.0,28.5,53.1,Bw367,6.38
1,Ratnapura,1,25.9,90.8,324.0,4.7,60.6,26.4,26.0,Ld368,5.32
1,Colombo,1,26.8,78.0,243.4,5.4,71.5,15.8,35.0,Bw367,6.09
1,Trincomalee,0,27.7,79.7,229.6,5.4,76.6,44.0,52.3,Bg366,8.05
1,Trincomalee,0,26.2,85.2,218.8,4.7,30.8,24.8,51.0,Bg352,6.46
1,Trincomalee,0,26.4,88.2,231.0,5.2,33.9,55.8,60.5,Bg352,7.82
0,Hambantota,0,32.7,67.4,33.4,7.5,63.8,36.7,34.2,At362,6.2
0,Kegalle,1,30.0,85.3,271.6,6.5,46.1,30.7,61.6,Ld368,5.6
1,Badulla,1,22.2,83.5,201.2,5.4,31.2,24.1,44.0,Bw367,5.39
0,Ratnapura,1,27.2,86.6,277.8,6.2,60.0,42.2,43.8,Ld368,5.6
0,Matara,1,29.4,80.4,219.8,7.6,68.1,21.8,30.4,Bw367,5.8
0,Kegalle,1,27.4,85.9,261.8,7.0,59.5,45.5,33.1,Ld368,5.6
0,Galle,1,28.6,83.5,227.8,7.5,59.8,40.8,54.1,Bw367,6.38
1,Badulla,1,23.0,88.0,201.7,6.3,68.5,35.1,31.7,Bw367,6.09
0,Ratnapura,1,27.8,81.4,291.3,6.6,54.7,33.9,51.9,Ld368,5.6
0,Kalutara,1,28.3,83.1,284.9,6.8,46.1,47.0,48.2,Ld368,5.6
0,Anuradhapura,0,31.8,65.5,41.4,8.5,37.5,30.7,63.7,At362,6.2
0,Nuwara Eliya,1,17.8,87.4,222.9,4.7,70.9,46.7,61.9,Bw367,5.8
1,Matale,1,24.7,86.9,190.5,5.0,44.9,27.2,45.6,Bw367,6.09
0,Kalutara,1,30.3,78.9,303.6,6.9,23.0,29.4,57.5,Ld368,5.6
0,Nuwara Eliya,1,20.4,79.9,222.7,5.0,54.3,48.2,39.4,Bw367,5.8
1,Kegalle,1,27.5,86.6,307.5,5.4,84.5,43.5,31.6,Ld368,6.44
1,Colombo,1,26.5,83.6,251.5,6.1,49.5,47.8,56.3,Ld368,6.44
1,Badulla,1,21.5,81.5,197.2,6.0,45.4,29.7,28.1,Bw367,5.39
0,Colombo,1,31.7,74.4,212.2,6.9,73.7,26.3,63.1,Bw367,6.38
0,Badulla,1,26.6,76.3,109.3,6.6,58.8,22.6,47.1,Bw367,5.8
1,Badulla,1,23.9,79.3,181.0,5.1,52.8,24.3,44.7,Bw367,6.09
1,Kalutara,1,26.0,83.4,299.4,5.7,84.9,46.2,36.5,Ld368,6.44
1,Ampara,0,27.6,78.4,216.1,6.1,53.9,39.5,62.1,Bg352,7.82
0,Colombo,1,30.5,77.8,205.7,6.6,65.2,32.4,27.9,Bw367,5.8
1,Ampara,0,27.0,78.0,214.0,6.1,78.8,58.3,59.7,Bg366,8.05
1,Anuradhapura,0,27.6,81.2,176.0,6.2,63.3,34.6,61.2,Bg366,8.05
0,Matale,1,28.9,80.0,119.8,6.5,48.2,47.6,56.1,Bw367,6.38
0,Badulla,1,26.6,73.5,120.9,7.6,30.7,20.2,64.0,Bw367,5.8
1,Matara,1,26.4,84.0,249.3,5.8,82.2,48.9,38.3,Bw367,6.67
1,Kandy,1,24.9,82.9,234.1,5.4,52.0,40.8,40.8,Bw367,6.09
1,Galle,1,26.0,88.6,251.9,6.3,34.0,26.8,32.7,Ld368,5.21
1,Kalutara,1,26.1,84.6,314.3,5.1,45.1,34.2,54.8,Ld368,5.88
1,Matale,1,26.5,81.2,210.2,4.9,76.1,21.1,28.3,Bw367,5.51
0,Colombo,1,32.0,78.6,207.0,7.0,43.8,20.8,57.9,Bw367,5.8
0,Ampara,0,34.3,68.7,43.0,8.9,41.7,47.1,44.0,At362,5.7
0,Matara,1,29.2,82.8,214.8,6.7,34.8,20.8,48.3,Bw367,5.1
0,Kalutara,1,28.8,82.6,275.6,5.4,48.6,42.8,62.7,Ld368,6.16
0,Kandy,1,26.3,73.5,148.1,6.7,66.2,42.3,33.3,Bw367,5.8
1,Badulla,1,21.2,83.9,185.7,5.1,68.2,45.8,34.8,Bw367,6.09
0,Badulla,1,24.8,79.4,119.4,7.1,27.8,16.0,56.9,Bw367,5.1
0,Kegalle,1,29.4,80.0,270.3,6.7,45.4,39.1,56.6,Ld368,5.6
0,Hambantota,0,30.2,70.3,26.9,8.6,59.6,55.3,50.6,At362,6.82
0,Badulla,1,26.6,78.8,104.9,6.7,50.7,49.5,34.0,Bw367,5.8
0,Kandy,1,28.0,81.7,148.0,6.4,62.0,38.3,27.8,Bw367,5.8
0,Ampara,0,33.4,67.5,46.9,8.3,63.8,33.4,25.1,Bg300,5.06
1,Monaragala,0,26.6,81.1,177.1,6.4,79.8,36.4,63.1,Bg366,8.05
1,Matale,1,24.6,81.8,201.3,5.4,37.0,41.0,27.9,Bw367,6.09
1,Colombo,1,26.4,82.7,235.0,5.2,40.5,52.6,45.8,Bw367,6.09
0,Matale,1,29.1,75.4,116.8,6.7,33.8,28.7,43.4,Bw367,5.8
1,Polonnaruwa,0,26.7,77.7,193.5,6.0,77.1,31.5,32.3,Bg366,7.35
0,Matara,1,31.0,74.1,225.3,7.0,28.9,27.8,34.0,Bw367,5.1
0,Ratnapura,1,28.4,84.6,282.8,6.2,47.3,15.7,38.4,Ld368,4.93
1,Hambantota,0,27.2,75.6,111.3,7.5,48.5,33.0,61.9,Bg352,7.14
0,Galle,1,30.9,75.2,224.2,7.1,69.0,25.3,62.2,Bw367,6.38
0,Monaragala,0,32.9,67.0,56.4,8.7,71.3,39.9,25.3,Bg300,5.5
1,Kandy,1,25.7,89.6,224.6,5.7,58.9,23.3,46.0,Bw367,6.09
0,Colombo,1,31.2,74.2,196.0,7.0,72.8,32.8,55.2,Bw367,6.38
1,Matale,1,24.8,83.7,211.8,5.5,82.0,23.6,28.0,Bw367,6.09
1,Matale,1,26.5,87.9,205.4,6.2,75.5,48.8,47.8,Bw367,6.67
0,Monaragala,0,33.3,67.3,66.2,7.9,51.1,38.8,26.9,Bg300,5.06
1,Colombo,1,28.4,81.2,244.5,5.6,33.8,31.5,43.5,Bw367,6.09
0,Matale,1,29.7,70.7,111.7,7.4,44.0,43.2,47.7,Bw367,5.8
0,Kandy,1,27.8,73.1,145.6,5.9,70.9,19.2,40.5,Bw367,5.8
0,Kandy,1,28.5,76.1,164.8,5.8,27.1,24.0,57.4,Bw367,5.8
1,Matara,1,27.1,86.3,236.1,5.3,54.4,21.6,64.3,Bw367,6.09
1,Kegalle,1,26.3,88.3,301.1,5.4,36.4,37.2,36.5,Ld368,5.88
1,Ampara,0,28.2,86.7,196.1,5.2,40.7,20.4,34.7,Bg352,6.32
1,Colombo,1,27.0,82.1,251.6,6.3,51.7,29.9,43.2,Ld368,5.88
1,Anuradhapura,0,28.2,73.3,183.1,5.4,73.9,54.3,44.3,Bg366,8.05
1,Galle,1,26.2,82.0,240.0,6.0,42.6,36.1,43.1,Bw367,6.09
1,Ampara,0,28.4,78.7,210.5,5.1,69.7,32.9,54.0,Bg366,8.05
0,Kegalle,1,29.6,77.3,263.5,6.3,22.5,22.4,62.4,Ld368,5.6
1,Matale,1,26.2,80.5,192.8,5.7,36.5,52.9,34.0,Bw367,6.09
1,Kegalle,1,26.8,82.0,311.7,4.7,66.7,47.3,31.6,Ld368,5.32
1,Matara,1,27.2,82.1,239.5,5.5,49.8,41.8,50.3,Bw367,6.09
1,Matale,1,26.7,86.6,200.3,5.4,50.7,43.3,51.9,Bw367,6.09
0,Nuwara Eliya,1,19.5,81.5,195.6,5.3,55.5,31.4,46.0,Bw367,5.8
1,Galle,1,27.3,86.6,236.9,5.1,46.6,36.6,56.1,Bw367,6.09
1,Galle,1,26.6,82.6,242.6,6.3,65.0,21.2,53.9,Bw367,6.09
1,Nuwara Eliya,1,14.4,89.1,268.2,4.5,66.0,35.3,38.7,Ld368,5.32
0,Kalutara,1,27.8,87.7,281.0,5.5,72.9,37.0,56.9,Ld368,6.16
0,Matale,1,29.2,74.0,128.2,6.3,42.1,47.0,45.9,Bw367,5.8
1,Monaragala,0,26.6,76.3,175.3,6.3,83.9,48.5,44.7,Bg366,8.05
0,Colombo,1,29.3,76.5,193.6,6.6,62.0,35.4,47.3,Bw367,5.8
