District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone
Kandy,Intermediate Zone,Bg 366,2020,Yala,17091,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bg 359,2024,Yala,2560,3.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 300,2020,Maha,14585,3 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bg 366,2024,Maha,12152,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,At 307,2019,Maha,6987,3 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bg 300,2024,Maha,39628,3 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,At 307,2019,Annual,9591,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 359,2021,Yala,2088,3.5 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bg 360,2018,Maha,5537,3.5 Months,Short Grain (Samba),White,No,No
Matale,Intermediate Zone,Bg 366,2021,Maha,7059,3.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,At 307,2023,Yala,9969,3 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,At 353,2018,Yala,2283,3.5 Months,Long Grain (Nadu),Red,Yes,No
Puttalam,Dry Zone,Bg 94-1,2024,Yala,19991,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,At 353,2022,Yala,1504,3.5 Months,Long Grain (Nadu),Red,Yes,No
Kurunegala,Intermediate Zone,Bw 400,2024,Annual,57,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Galle,Wet Zone,Bg 300,2018,Maha,4001,3 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 379-2,2022,Maha,1764,4-4.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 359,2019,Yala,2384,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bw 372,2019,Maha,2850,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,At 354,2024,Yala,303,3.5 Months,Long Grain (Nadu),White,Yes,No
Kandy,Intermediate Zone,Bw 372,2022,Yala,3015,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mullaitivu,Dry Zone,Bw 372,2020,Maha,2724,3.5 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,Bg 94-1,2021,Maha,5287,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bw 400,2020,Yala,58,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Hambantota,Dry Zone,Bg 300,2021,Yala,14168,3 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 374,2020,Yala,2366,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,At 362,2020,Maha,30264,3.5 Months,Long Grain (Nadu),Red,No,No
Batticaloa,Dry Zone,At 353,2021,Yala,2244,3.5 Months,Long Grain (Nadu),Red,Yes,No
Galle,Wet Zone,Bw 372,2019,Maha,2980,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mannar,Dry Zone,Bw 367,2019,Maha,11373,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bg 369,2020,Maha,320,3.5 Months,Long Grain (Nadu),White,Yes,No
Polonnaruwa,Dry Zone,Bg 94-1,2022,Maha,20436,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 310,2024,Maha,4027,3 Months,Long Grain (Nadu),White,Yes,No
Trincomalee,Dry Zone,Bg 374,2022,Maha,981,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 357,2020,Yala,13634,3.5 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 310,2019,Maha,9119,3 Months,Long Grain (Nadu),White,Yes,No
Kurunegala,Intermediate Zone,Bg 300,2022,Maha,39275,3 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,At 362,2024,Yala,2517,3.5 Months,Long Grain (Nadu),Red,No,No
Galle,Wet Zone,Bw 367,2023,Yala,1221,3.5 Months,Short Grain (Samba),White,No,Yes
Badulla,Intermediate Zone,Bg 300,2024,Yala,8410,3 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,At 354,2021,Yala,354,3.5 Months,Long Grain (Nadu),White,Yes,No
Killinochchi,Dry Zone,Bw 372,2021,Yala,3082,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,At 354,2019,Yala,370,3.5 Months,Long Grain (Nadu),White,Yes,No
Matara,Wet Zone,Bg 250,2022,Maha,7266,2.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,Bg 360,2024,Yala,9661,3.5 Months,Short Grain (Samba),White,No,No
Puttalam,Dry Zone,Bg 250,2020,Yala,5003,2.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 359,2019,Annual,2426,3.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 94-1,2024,Maha,23648,3.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 379-2,2019,Maha,1538,4-4.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bw 367,2018,Annual,1375,3.5 Months,Short Grain (Samba),White,No,Yes
Ratnapura,Wet Zone,Bg 250,2022,Maha,6391,2.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bw 367,2020,Maha,11729,3.5 Months,Short Grain (Samba),White,No,Yes
Puttalam,Dry Zone,Bg 300,2022,Yala,34922,3 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bw 312,2024,Maha,771,3 Months,Long Grain (Nadu),Red,No,Yes
Matara,Wet Zone,Bw 372,2022,Maha,3270,3.5 Months,Long Grain (Nadu),Red,No,Yes
Matara,Wet Zone,Bw 312,2021,Yala,898,3 Months,Long Grain (Nadu),Red,No,Yes
Kalutara,Wet Zone,At 303,2021,Annual,1592,3 Months,Long Grain (Nadu),Red,No,No
Puttalam,Dry Zone,Bg 359,2024,Yala,2685,3.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bg 94-1,2023,Yala,7020,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,At 354,2022,Yala,359,3.5 Months,Long Grain (Nadu),White,Yes,No
Gampaha,Wet Zone,At 307,2018,Yala,4507,3 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 359,2024,Maha,2291,3.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 352,2021,Maha,6703,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bw 364,2018,Yala,397,3.5 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,Ld 368,2023,Maha,2945,3.5 Months,Short Grain (Samba),Red,No,No
Matale,Intermediate Zone,At 362,2019,Yala,31509,3.5 Months,Long Grain (Nadu),Red,No,No
Anuradhapura,Dry Zone,Bg 94-1,2022,Yala,23612,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bg 366,2019,Annual,6414,3.5 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 250,2019,Yala,7346,2.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 374,2022,Maha,995,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bg 94-1,2024,Maha,10470,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,At 362,2019,Maha,46655,3.5 Months,Long Grain (Nadu),Red,No,No
Puttalam,Dry Zone,Bg 366,2020,Maha,12309,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bw 367,2024,Maha,9779,3.5 Months,Short Grain (Samba),White,No,Yes
Gampaha,Wet Zone,Bw 312,2023,Maha,825,3 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,Bw 364,2019,Yala,320,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,At 362,2022,Maha,39546,3.5 Months,Long Grain (Nadu),Red,No,No
Mannar,Dry Zone,Bg 360,2019,Yala,8399,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,Bw 400,2018,Maha,26,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Mannar,Dry Zone,Bw 367,2022,Yala,1367,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bg 366,2021,Yala,19333,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,At 353,2021,Maha,1937,3.5 Months,Long Grain (Nadu),Red,Yes,No
Mullaitivu,Dry Zone,Bw 372,2020,Maha,2938,3.5 Months,Long Grain (Nadu),Red,No,Yes
Ratnapura,Wet Zone,Bg 300,2021,Maha,36177,3 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bg 366,2019,Annual,7825,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bw 367,2022,Maha,11031,3.5 Months,Short Grain (Samba),White,No,Yes
Anuradhapura,Dry Zone,Bw 367,2019,Maha,11908,3.5 Months,Short Grain (Samba),White,No,Yes
Matale,Intermediate Zone,Bg 360,2023,Annual,4857,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,Bg 369,2022,Maha,187,3.5 Months,Long Grain (Nadu),White,Yes,No
Puttalam,Dry Zone,Bg 359,2024,Yala,2592,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bw 372,2020,Yala,2899,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,At 353,2022,Yala,1951,3.5 Months,Long Grain (Nadu),Red,Yes,No
Killinochchi,Dry Zone,At 307,2024,Maha,5652,3 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,At 354,2023,Yala,289,3.5 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,Bg 94-1,2018,Maha,17697,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bg 352,2018,Yala,12207,3.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,At 353,2024,Maha,1228,3.5 Months,Long Grain (Nadu),Red,Yes,No
Vavuniya,Dry Zone,Bw 400,2021,Maha,89,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Batticaloa,Dry Zone,Bg 360,2020,Yala,5523,3.5 Months,Short Grain (Samba),White,No,No
Ampara,Dry Zone,Bg 94-1,2024,Yala,4292,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Attakkari,2020,Maha,7400,4-4.5 Months,Long Grain (Nadu),Red,No,No
Trincomalee,Dry Zone,Bg 352,2018,Maha,34592,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,At 303,2019,Annual,1502,3 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Bw 312,2022,Maha,727,3 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,Bg 374,2019,Yala,4099,3.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 379-2,2019,Yala,1804,4-4.5 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,At 303,2018,Maha,1578,3 Months,Long Grain (Nadu),Red,No,No
Batticaloa,Dry Zone,At 353,2024,Yala,1756,3.5 Months,Long Grain (Nadu),Red,Yes,No
Gampaha,Wet Zone,Bg 357,2023,Maha,12471,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 250,2018,Yala,8258,2.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 310,2018,Maha,16054,3 Months,Long Grain (Nadu),White,Yes,No
Matara,Wet Zone,At 303,2022,Maha,1674,3 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Bw 312,2023,Yala,933,3 Months,Long Grain (Nadu),Red,No,Yes
Polonnaruwa,Dry Zone,At 307,2018,Yala,6020,3 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 310,2019,Maha,6232,3 Months,Long Grain (Nadu),White,Yes,No
Batticaloa,Dry Zone,Bw 364,2023,Annual,381,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mannar,Dry Zone,At 307,2020,Yala,6078,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,At 303,2024,Maha,1804,3 Months,Long Grain (Nadu),Red,No,No
Puttalam,Dry Zone,At 303,2020,Yala,1724,3 Months,Long Grain (Nadu),Red,No,No
Vavuniya,Dry Zone,Bw 372,2020,Yala,2573,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,At 362,2023,Maha,45282,3.5 Months,Long Grain (Nadu),Red,No,No
Badulla,Intermediate Zone,Bw 367,2022,Maha,7228,3.5 Months,Short Grain (Samba),White,No,Yes
Batticaloa,Dry Zone,At 303,2022,Yala,1690,3 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Ld 368,2022,Yala,2448,3.5 Months,Short Grain (Samba),Red,No,No
Gampaha,Wet Zone,Ld 368,2024,Maha,2979,3.5 Months,Short Grain (Samba),Red,No,No
Gampaha,Wet Zone,At 307,2022,Yala,4052,3 Months,Long Grain (Nadu),White,No,No
Puttalam,Dry Zone,At 303,2021,Annual,1827,3 Months,Long Grain (Nadu),Red,No,No
Mannar,Dry Zone,Bg 250,2021,Annual,6230,2.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 359,2022,Maha,2523,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 250,2021,Maha,6089,2.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bw 312,2019,Yala,706,3 Months,Long Grain (Nadu),Red,No,Yes
Gampaha,Wet Zone,Bg 366,2024,Maha,16596,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bw 400,2018,Maha,40,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Killinochchi,Dry Zone,Bg 379-2,2021,Yala,1889,4-4.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bw 400,2022,Maha,96,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Kegalle,Wet Zone,At 354,2022,Maha,245,3.5 Months,Long Grain (Nadu),White,Yes,No
Badulla,Intermediate Zone,Bg 250,2019,Yala,6262,2.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,At 362,2018,Yala,46489,3.5 Months,Long Grain (Nadu),Red,No,No
Mullaitivu,Dry Zone,Bw 400,2020,Maha,73,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Mullaitivu,Dry Zone,Bw 364,2021,Yala,313,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Bg 250,2018,Maha,8019,2.5 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bw 372,2023,Yala,3141,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,Bg 374,2019,Yala,4718,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bw 367,2024,Maha,5851,3.5 Months,Short Grain (Samba),White,No,Yes
Kegalle,Wet Zone,Bg 366,2018,Maha,19851,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bw 364,2021,Maha,336,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,At 307,2023,Yala,8517,3 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bw 367,2018,Yala,3719,3.5 Months,Short Grain (Samba),White,No,Yes
Badulla,Intermediate Zone,Bg 366,2021,Maha,17141,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 360,2020,Maha,5533,3.5 Months,Short Grain (Samba),White,No,No
Monaragala,Intermediate Zone,Bw 312,2020,Maha,662,3 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,At 354,2023,Yala,275,3.5 Months,Long Grain (Nadu),White,Yes,No
Batticaloa,Dry Zone,Bw 372,2020,Maha,2965,3.5 Months,Long Grain (Nadu),Red,No,Yes
Monaragala,Intermediate Zone,At 354,2021,Yala,392,3.5 Months,Long Grain (Nadu),White,Yes,No
Puttalam,Dry Zone,Attakkari,2019,Yala,6675,4-4.5 Months,Long Grain (Nadu),Red,No,No
Polonnaruwa,Dry Zone,Bg 360,2018,Yala,10859,3.5 Months,Short Grain (Samba),White,No,No
Hambantota,Dry Zone,Ld 368,2023,Yala,2278,3.5 Months,Short Grain (Samba),Red,No,No
Monaragala,Intermediate Zone,At 354,2022,Maha,353,3.5 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,At 303,2021,Maha,1544,3 Months,Long Grain (Nadu),Red,No,No
Kurunegala,Intermediate Zone,Bg 352,2022,Maha,38627,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 359,2021,Yala,2263,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 94-1,2022,Yala,8976,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 374,2020,Yala,3572,3.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bw 312,2024,Yala,893,3 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,At 354,2021,Maha,241,3.5 Months,Long Grain (Nadu),White,Yes,No
Puttalam,Dry Zone,Bw 372,2019,Maha,3127,3.5 Months,Long Grain (Nadu),Red,No,Yes
Matale,Intermediate Zone,Bg 359,2023,Yala,2211,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 94-1,2024,Maha,7338,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bw 367,2019,Annual,7876,3.5 Months,Short Grain (Samba),White,No,Yes
Matale,Intermediate Zone,Bg 300,2018,Maha,13578,3 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 352,2023,Maha,40661,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,Bw 367,2020,Yala,2756,3.5 Months,Short Grain (Samba),White,No,Yes
Ratnapura,Wet Zone,Bg 300,2022,Yala,6703,3 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,At 307,2021,Maha,4854,3 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bg 359,2021,Maha,2105,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bg 374,2023,Maha,3061,3.5 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,At 353,2020,Yala,592,3.5 Months,Long Grain (Nadu),Red,Yes,No
Gampaha,Wet Zone,Bw 312,2022,Maha,648,3 Months,Long Grain (Nadu),Red,No,Yes
Mannar,Dry Zone,Bg 94-1,2020,Yala,22567,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bw 364,2024,Maha,259,3.5 Months,Long Grain (Nadu),Red,No,Yes
Killinochchi,Dry Zone,Bg 310,2024,Yala,4722,3 Months,Long Grain (Nadu),White,Yes,No
Kandy,Intermediate Zone,Bg 379-2,2021,Maha,1655,4-4.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 379-2,2024,Maha,1516,4-4.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,At 354,2023,Yala,277,3.5 Months,Long Grain (Nadu),White,Yes,No
Trincomalee,Dry Zone,Attakkari,2019,Yala,6627,4-4.5 Months,Long Grain (Nadu),Red,No,No
Batticaloa,Dry Zone,Bg 250,2022,Maha,5479,2.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,At 353,2018,Yala,2099,3.5 Months,Long Grain (Nadu),Red,Yes,No
Galle,Wet Zone,At 303,2022,Maha,1979,3 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,Bw 372,2020,Yala,3146,3.5 Months,Long Grain (Nadu),Red,No,Yes
Ratnapura,Wet Zone,Bg 379-2,2024,Yala,1476,4-4.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 379-2,2021,Maha,1886,4-4.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,Bg 369,2019,Maha,902,3.5 Months,Long Grain (Nadu),White,Yes,No
Badulla,Intermediate Zone,Bw 372,2018,Annual,3308,3.5 Months,Long Grain (Nadu),Red,No,Yes
Polonnaruwa,Dry Zone,Bg 352,2019,Annual,15881,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,At 303,2021,Maha,1829,3 Months,Long Grain (Nadu),Red,No,No
Kegalle,Wet Zone,At 362,2018,Maha,5799,3.5 Months,Long Grain (Nadu),Red,No,No
Galle,Wet Zone,Bw 364,2022,Maha,326,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,At 362,2022,Yala,44533,3.5 Months,Long Grain (Nadu),Red,No,No
Anuradhapura,Dry Zone,At 307,2020,Yala,4084,3 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 379-2,2022,Yala,1677,4-4.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bg 374,2021,Maha,4900,3.5 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,Bg 374,2019,Yala,4893,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 357,2023,Yala,12058,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,At 362,2018,Annual,40038,3.5 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,Bw 372,2021,Maha,3274,3.5 Months,Long Grain (Nadu),Red,No,Yes
Badulla,Intermediate Zone,Attakkari,2023,Maha,6483,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,Bg 360,2020,Annual,8014,3.5 Months,Short Grain (Samba),White,No,No
Ratnapura,Wet Zone,Ld 368,2021,Yala,1496,3.5 Months,Short Grain (Samba),Red,No,No
Vavuniya,Dry Zone,At 362,2019,Yala,23213,3.5 Months,Long Grain (Nadu),Red,No,No
Matara,Wet Zone,Bw 312,2023,Yala,964,3 Months,Long Grain (Nadu),Red,No,Yes
Kalutara,Wet Zone,Bw 364,2023,Yala,398,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,Bw 372,2021,Annual,2752,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,At 303,2023,Maha,1864,3 Months,Long Grain (Nadu),Red,No,No
Kurunegala,Intermediate Zone,Attakkari,2021,Yala,6480,4-4.5 Months,Long Grain (Nadu),Red,No,No
Kegalle,Wet Zone,Bg 374,2018,Annual,1067,3.5 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 300,2022,Maha,5037,3 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 250,2020,Yala,6198,2.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bg 374,2022,Maha,3951,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bw 364,2024,Maha,380,3.5 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,At 353,2024,Yala,1430,3.5 Months,Long Grain (Nadu),Red,Yes,No
Monaragala,Intermediate Zone,Bg 352,2021,Maha,47647,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bw 367,2019,Maha,4731,3.5 Months,Short Grain (Samba),White,No,Yes
Ratnapura,Wet Zone,Bg 359,2024,Maha,2687,3.5 Months,Long Grain (Nadu),White,No,No
Polonnaruwa,Dry Zone,At 307,2018,Maha,4036,3 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bg 360,2018,Yala,9121,3.5 Months,Short Grain (Samba),White,No,No
Ratnapura,Wet Zone,Bg 379-2,2020,Maha,1905,4-4.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bw 400,2020,Annual,49,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Killinochchi,Dry Zone,Bg 379-2,2019,Maha,1755,4-4.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 369,2022,Yala,260,3.5 Months,Long Grain (Nadu),White,Yes,No
Matale,Intermediate Zone,Bg 369,2023,Yala,814,3.5 Months,Long Grain (Nadu),White,Yes,No
Kandy,Intermediate Zone,Bw 372,2024,Maha,3010,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,Bw 400,2022,Maha,64,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Killinochchi,Dry Zone,Bw 400,2023,Maha,67,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Mannar,Dry Zone,Bw 364,2018,Maha,272,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,Bg 360,2023,Annual,5073,3.5 Months,Short Grain (Samba),White,No,No
Killinochchi,Dry Zone,Bw 364,2022,Yala,299,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,Bw 312,2024,Yala,799,3 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,Bg 374,2018,Annual,4783,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bg 369,2021,Maha,260,3.5 Months,Long Grain (Nadu),White,Yes,No
Puttalam,Dry Zone,Bg 369,2024,Maha,445,3.5 Months,Long Grain (Nadu),White,Yes,No
Badulla,Intermediate Zone,Ld 368,2022,Yala,2196,3.5 Months,Short Grain (Samba),Red,No,No
Mullaitivu,Dry Zone,Bw 367,2022,Maha,8029,3.5 Months,Short Grain (Samba),White,No,Yes
Kegalle,Wet Zone,At 307,2023,Maha,6091,3 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bw 364,2019,Maha,283,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,At 353,2021,Maha,1188,3.5 Months,Long Grain (Nadu),Red,Yes,No
Trincomalee,Dry Zone,Bg 310,2023,Maha,1797,3 Months,Long Grain (Nadu),White,Yes,No
Kurunegala,Intermediate Zone,Bw 312,2020,Maha,864,3 Months,Long Grain (Nadu),Red,No,Yes
Batticaloa,Dry Zone,Bg 94-1,2023,Yala,6283,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,Bw 400,2018,Annual,25,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Kalutara,Wet Zone,Bg 357,2023,Yala,11102,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bw 400,2019,Yala,80,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Matale,Intermediate Zone,At 307,2023,Yala,7412,3 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 379-2,2019,Annual,1483,4-4.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bw 312,2018,Maha,543,3 Months,Long Grain (Nadu),Red,No,Yes
Puttalam,Dry Zone,Bw 312,2020,Annual,780,3 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,At 303,2019,Maha,1893,3 Months,Long Grain (Nadu),Red,No,No
Matara,Wet Zone,At 353,2019,Annual,430,3.5 Months,Long Grain (Nadu),Red,Yes,No
Trincomalee,Dry Zone,Bw 400,2018,Maha,97,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
